company,pio_vs_igpa_mc_sc,mrv_vs_ipsa,price,ret_1m,ret_ytd,ret_1y,ret_5y,mkt_cap_bn,net_debt,FV,ebitda_prev,ebitda_ltm,ebitda_chg,net_income_prev,net_income_ltm,net_income_chg,ebitda_ltm,ebitda_ltm2,ebitda_2025e,ebitda_2026e,ebitda_2027e,Fv_ebitda_2024,Fv_ebitda_ltm,Fv_ebitda_2025e,Fv_ebitda_2026e,Fv_ebitda_2027e,ni_2024,ni_ltm,ni_2025e,ni_2026e,ni_2027e,pe_2024,pe_ltm,pe_2025e,pe_2026e,pe_2027e,peg_2026e,p_ce_ltm,p_bv_ltm,roe_ltm,fv_s_2025e,fv_s_ltm,leverage_ltm,div_policy,div_yield_2026e,roic_ltm,fv_ic_ltm,recommendation,rec_date,roe_2026e,div_yield_2026e_b,div_yield_ltm,div_yield_lagged,div_yield_2022,sector,target_price
CAP,-0.020707,-0.006173,6354.9,0.151726,0.086418,0.583567,0.050846,1073.138765,1254.83902,2327.977785,307.783621,415.107659,-0.299777,-389.323,-71.675,NM,415.107659,322.841262,509.266425,512.735539,571.43285,4.639728,7.210905,4.571238,4.540309,4.073931,-426.881,-109.233,64.533239,76.447267,139.552628,-2.08078,NM,16.629241,14.037634,7.68985,0.760359,1.571849,0.617009,NM,0.032962,2.022217,3.886861,0.3,0.018041,0.00528,0.545048,Mantener,2025-05-19 00:00:00,0.043954,0.018041,0,0,0.021796,Acero,5800
Cintac,0.003383,,79.32,0.010843,0,0.608204,-0.226118,102.686776,226.046,328.732776,15.353,28.316,0.592979,-33.765,-12.137,NM,28.316,37.42,47.656478,59.130998,59.130998,7.05133,8.784949,6.897966,5.559398,5.559398,-39.909,-18.281,-7.622017,-0.026825,-0.026825,-1.738491,NM,NM,NM,NM,,NM,1.255416,NM,NM,0.898779,6.04078,0.3,0,0.049941,1.074813,Vender,2025-05-19 00:00:00,NM,0,0,0,0,Acero,64
Provida,,,5001.5,-0.029684,0.084115,0.974447,0.566342,1853.751778,-33.642361,1820.109417,167.928689,194.038315,0.116384,35.435903,22.003106,-0.379073,194.038315,213.582507,190.648152,183.263912,186.726874,5.58823,8.521809,9.546955,9.93163,9.747442,77.521899,64.089103,108.454064,103.80095,105.461228,14.343269,28.924602,17.092506,17.858717,17.577567,-4.162482,22.28746,1.344553,0.046625,0.080943,5.859181,-0.157515,0.7,0.040954,0.093505,1.353171,,,0.075288,0.040954,0.024201,0.037416,0.068277,AFP,
Habitat,,,1455.9,0.030921,0.036832,0.980458,0.499447,1645.084746,54.653811,1699.738556,136.847481,183.342706,0.007067,92.659274,93.453586,0.008572,183.342706,184.309868,225.445849,216.713814,220.808848,5.506503,9.222179,7.539454,7.84324,7.697783,124.527574,125.321887,159.001404,152.179606,154.613693,7.79443,13.126875,10.346354,10.810153,10.639968,-2.519614,13.625152,3.832896,0.328188,0.413247,5.712527,0.296532,0.9,0.086987,0.287571,3.512907,,,0.354564,0.086987,0.068562,0.117158,0.147433,AFP,
AFPCapital,,,247.5,0,0,0.119641,0.092537,873.380937,-19.517432,853.863505,94.225647,121.676366,0.009954,69.053984,70.326876,0.018433,121.676366,122.614306,177.672984,170.791302,174.018582,6.813716,6.963816,4.805815,4.999455,4.906738,89.482149,90.755041,116.524308,111.524948,113.30877,9.858983,9.623498,7.495268,7.831261,7.707973,-1.825298,10.150242,1.553215,0.169167,0.224906,3.691804,-0.159177,0.7,0.093392,0.161591,1.573107,,,0.198335,0.093392,0.072739,0.072011,0.092458,AFP,
Cuprum,,,134.6,-0.069583,-0.025517,2.539533,0.61284,1942.233767,-140.761365,1801.472402,76.820134,101.729695,0.108775,48.550564,55.151242,0.135955,101.729695,110.085794,130.11738,125.077636,127.441108,6.477824,16.364259,13.844979,14.402834,14.135725,64.326468,70.927145,89.668694,85.821548,87.194249,11.504609,27.383504,21.66011,22.631074,22.274792,-5.274815,23.37006,2.502182,0.093808,0.12532,9.131113,-1.278651,0.7,0.032317,0.099105,2.834934,,,0.110564,0.032317,0.025563,0.068151,0.084816,AFP,
Watts,0.050087,,665.2,0.038015,0.045939,0.017255,-0.017793,236.890872,229.580541,466.471413,40.046136,57.694852,-0.020957,18.573373,14.223135,-0.234219,57.694852,56.855595,57.105434,66.370352,68.475843,7.927429,8.204494,8.168599,7.02831,6.812204,28.400598,24.050361,25.580357,29.007057,29.266673,8.338544,9.849785,9.260655,8.166664,8.094219,0.609643,5.206545,0.736221,0.079326,0.079257,0.666899,4.037959,0.3,0.032395,0.054629,0.846057,Comprar,2025-05-19 00:00:00,0.090149,0.032395,0.030458,0.029147,0.032405,Alimentos,830
Carozzi,,,3863,-0.013158,0.026076,0.553599,0.292634,1874.969251,892.726809,2767.69606,183.917061,268.653814,-0.086777,74.596405,69.393893,-0.069742,268.653814,252.694126,287.527332,296.153152,305.037746,4.412942,10.952752,9.625854,9.345489,9.07329,111.012672,105.81016,118.811554,122.375901,126.047178,5.676115,17.720125,15.781035,15.321393,14.875139,5.107131,10.958477,2.772221,0.168194,0.17764,1.57029,3.532836,0.3,0.01901,0.103661,1.763828,,,0.180938,0.01901,0.01693,0.065237,0.056566,Alimentos,
HF,,,1311.5,ND,ND,ND,ND,0,0,0,118.181,190.859,NM,8.765,0,NM,190.859,72.678,0,0,0,8.528773,0,#DIV/0!,#DIV/0!,#DIV/0!,-45.461,-54.226,0,0,0,-18.78351,NM,NM,NM,NM,,NM,#DIV/0!,NM,0,0,0,0,0,0.019935,#DIV/0!,,,#DIV/0!,0,0,0,0,Alimentos,
Bsantander,,-0.069848,69.02,0.042553,0.036233,0.688762,0.188408,14696.668555,,,NA,NA,NA,669.631597,919.412357,0.373012,NA,NA,NA,NA,NA,,NA,NA,NA,NA,988.267879,1238.048639,1176.788451,1277.594638,1392.721964,10.085743,11.870833,12.488794,11.503389,10.552478,1.342879,NA,2.777172,0.254661,0.237912,NA,NA,0.6,0.048043,NA,NA,Comprar,2025-12-30 00:00:00,0.241422,0.048043,0.050544,0.075657,0.070838,Bancos,81
Chile,,-0.040564,172.9,0.042092,0.059188,0.731816,0.263369,19735.427485,,,NA,NA,NA,1047.847778,1067.896988,0.019134,NA,NA,NA,NA,NA,,NA,NA,NA,NA,1391.31873,1411.367941,1373.509317,1479.273911,1570.578778,9.28281,13.983191,14.368616,13.341294,12.565704,1.732564,NA,3.014405,0.223721,0.211975,NA,NA,0.8,0.055677,NA,NA,Mantener,2025-12-12 00:00:00,0.225945,0.055677,0.057212,0.087686,0.085078,Bancos,187
BCI,,0.065539,52900,0.087764,0.057712,1.334517,0.244474,13066.853448,,,NA,NA,NA,727.37494,884.003879,0.215335,NA,NA,NA,NA,NA,,NA,NA,NA,NA,923.759307,1080.388246,1140.370057,1303.638664,1398.282252,7.406897,12.094591,11.458433,10.023371,9.344933,0.700095,NA,1.5147,0.141645,0.141419,NA,NA,0.3,0.026182,NA,NA,Mantener,2025-12-12 00:00:00,0.151117,0.026182,0.024804,0.046399,0.05,Bancos,54335
Itaucl,-0.067726,-0.020188,18000,0.169298,0.074537,1.199286,0.193807,4400.150827,,,NA,NA,NA,324.270836,347.270475,0.070927,NA,NA,NA,NA,NA,,NA,NA,NA,NA,425.567424,448.567062,440.794387,460.694269,514.964023,5.818836,9.809349,9.98232,9.55113,8.544579,2.115633,NA,1.047305,0.117138,0.113755,NA,NA,0.3,0.030053,NA,NA,Mantener,2025-09-23 00:00:00,0.109652,0.030053,0.030583,0.052689,0.053401,Bancos,16312
Nubank,,,17.25,0.008284,0.001175,0.537906,ND,83081.0715,,,NA,NA,NA,1419.472,1976.873,0.392682,NA,NA,NA,NA,NA,,NA,NA,NA,NA,1972.112,2529.513,2438.617676,3410.660553,4570.326995,0.036764,32.84469,34.06892,24.359232,18.178365,0.611114,NA,7.873497,0.330858,0.29615,NA,NA,0,0,NA,NA,Vender,2025-02-20 00:00:00,0.323224,0,0,0,0,Bancos,13
