Date,Chile - 10Y Yield (%),Chile - FX Spot,Brazil - 10Y Yield (%),Brazil - FX Spot,Colombia - 10Y Yield (%),Colombia - FX Spot,Peru - 10Y Yield (%),Peru - FX Spot,Mexico - 10Y Yield (%),Mexico - FX Spot,United States - 10Y Yield (%),US - DXY Index,China - 10Y Yield (%),China - FX Spot,European Union - 10Y Yield (%),European Union - EURUSD
2025-03-25,5.74,921.27,15.056,5.6994,11.932,4107.81,6.49,3.6325,9.479,20.0499,4.3133,104.184,1.822,7.2584,2.798,1.0791
2025-03-26,5.78,926.29,15.15,5.7352,12.018,4129.0,6.53,3.6375,9.492,20.1055,4.3519,104.547,1.804,7.2683,2.795,1.0754
2025-03-27,5.81,934.17,15.093,5.7457,12.157,4170.55,6.56,3.64,9.422,20.3002,4.3595,104.335,1.809,7.2622,2.773,1.0801
2025-03-28,5.86,951.3,15.12,5.761,12.277,4201.7,6.69,3.659,9.385,20.3753,4.2494,104.044,1.815,7.2622,2.727,1.0828
2025-03-31,5.84,951.08,15.078,5.7057,12.254,4182.91,6.69,3.677,9.358,20.4711,4.2053,104.21,1.818,7.2569,2.738,1.0816
2025-04-01,5.85,946.63,14.941,5.6825,12.142,4145.5,6.69,3.675,9.295,20.3566,4.1689,104.26,1.813,7.2702,2.687,1.0793
2025-04-02,5.84,954.9,14.988,5.6591,12.091,4156.13,6.66,3.672,9.227,20.1946,4.1307,103.807,1.789,7.2677,2.721,1.0853
2025-04-03,5.85,949.73,14.736,5.63,12.026,4156.2,6.66,3.6685,9.044,19.94,4.0286,102.072,1.72,7.2818,2.651,1.1052
2025-04-04,5.85,978.55,14.722,5.8423,11.97,4274.23,6.4,3.683,9.165,20.4441,3.9943,103.023,,,2.578,1.0956
2025-04-07,5.54,988.95,14.858,5.9144,12.109,4384.8,6.46,3.7195,9.385,20.6954,4.1835,103.256,1.64,7.321,2.613,1.0912
2025-04-08,5.55,1000.0,14.928,6.0118,12.18,4425.25,,3.7475,9.44,20.8473,4.2929,102.955,1.666,7.3389,2.631,1.0958
2025-04-09,5.54,980.13,14.945,5.8252,12.083,4319.28,,3.6985,9.379,20.2415,4.3315,102.9,1.652,7.3463,2.591,1.0949
2025-04-10,5.56,986.8,15.144,5.8856,12.146,4333.35,6.62,3.735,9.502,20.4727,4.4249,100.867,1.652,7.3175,2.58,1.1201
2025-04-11,5.66,971.92,14.804,5.8668,12.612,4276.97,6.65,3.7319,9.582,20.3265,4.4895,100.102,1.658,7.2921,2.57,1.1355
2025-04-14,5.63,967.56,14.609,5.8552,12.62,4298.31,6.63,3.7395,9.572,20.0861,4.3739,99.64,1.664,7.3095,2.512,1.1351
2025-04-15,5.59,971.95,14.647,5.8862,12.576,4355.02,6.62,3.742,9.483,20.1007,4.333,100.215,1.659,7.3158,2.534,1.1282
