date,S&P/ASX 200 (Australia),CAC 40 (Francia),Colcap (Colombia),DAX (Alemania),Hang Seng (Hong Kong),Hang Seng Tech (Hong Kong),Bovespa (Brasil),Dow Jones (US),IPSA (Chile),Kospi Index (Corea),Merval (Argentina),Mexbol (Mexico),MSCI EM Small Cap,MSCI EM LatAm,Nasdaq 100 (US),Nifty 50 (India),Nikkei 225 (Japon),Russell 2000 (US),CSI 300 (China),Swiss Market (Suiza),SMLLBV (Brasil),BVL (Peru),S&P 500 (US),Stoxx Europe 600,Topix Index (Japon),FTSE 100 (UK)
2016-02-25,15.6867,13.8003,14.3895,12.0981,9.7222,,15.0149,15.3294,25.3469,10.9619,15.5447,18.46,19.7868,13.1047,20.0091,17.6011,16.1665,29.4264,11.8147,16.8949,,12.7394,16.3434,15.569,13.0408,17.6071
2016-02-26,15.688,14.013,14.6134,12.0281,9.9816,,14.5779,15.2776,29.7416,10.9657,15.5366,18.5012,19.9068,13.0516,20.0205,17.754,16.2769,29.5748,11.9344,17.033,,12.6379,16.3332,14.831,13.1385,17.9293
2016-02-27,,,,,,,,,,10.9657,,,,,,17.754,,,,,,,,,,
2016-02-28,,,,,,,,,,10.9669,,,,,,17.7534,,,,,,,,,,
2016-02-29,15.7501,14.1162,15.5762,12.0293,9.829,,15.3386,15.1725,30.139,10.9607,16.8093,18.6959,19.983,13.1725,19.88,17.6542,16.1451,21.7935,11.6554,16.952,,12.5793,16.2164,14.9411,13.0236,17.9442
2016-03-01,15.8834,14.2791,16.6801,12.3211,9.9822,,15.8052,15.5287,30.2228,10.9497,16.946,18.9203,20.3927,13.5634,20.5302,18.2585,16.228,22.3558,11.8855,17.1906,,12.5795,16.6265,15.1554,13.1086,18.1388
2016-03-02,16.2021,14.3447,17.1146,12.4289,10.2999,,16.1524,15.5658,30.4097,11.1407,16.6479,19.0717,20.7798,13.9107,17.717,18.6288,16.9211,22.6524,12.3804,17.388,,12.9877,16.7027,15.2671,13.6326,18.134
2016-03-03,16.3957,14.332,17.3666,12.4057,10.2707,,12.6168,15.6102,31.7794,11.1954,18.252,19.126,21.1156,14.2607,17.681,18.8974,17.15,22.9251,12.4122,17.2298,,13.0731,16.7704,15.2247,13.9011,18.0574
2016-03-04,16.4245,14.4788,17.3701,12.5037,10.3951,,13.1561,15.691,31.5027,11.1766,16.4768,19.1587,21.5025,14.8032,17.6719,18.9266,17.2036,23.0944,12.5633,17.3254,,13.2355,16.8289,15.3603,13.9649,16.3635
2016-03-05,,,,,,,,,,11.1766,,,,,,18.9266,,,,,,,,,,
2016-03-06,,,,,,,,,,11.1956,,,,,,18.9266,,,,,,,,,,
2016-03-07,16.5836,14.443,18.0901,12.4672,10.3947,,13.245,15.7522,17.9608,11.2258,16.4354,19.2255,21.5761,14.7271,17.5754,18.9264,17.1101,23.438,12.5938,17.4044,,13.382,16.8418,15.3529,13.82,16.4305
2016-03-08,16.4712,14.3237,17.98,12.3706,10.2891,,13.2142,15.6569,17.871,11.1467,16.6456,18.9778,21.5447,14.5209,17.4268,18.929,17.0313,22.9095,12.5995,17.2918,,13.2326,16.6604,15.2159,13.7,16.2867
2016-03-09,16.6296,14.4013,13.6332,12.4024,10.3376,,13.1155,15.6904,17.9338,11.1677,16.4768,18.969,21.6679,14.7378,17.5452,19.0455,16.8762,22.9984,12.4656,17.3071,,13.3601,16.7511,15.2982,13.5497,16.3607
2016-03-10,16.6067,14.1702,13.6682,12.1174,10.3393,,13.4159,15.6879,18.0334,11.2628,15.4998,18.8936,22.01,14.5595,17.5256,18.9304,17.0915,22.8757,12.232,17.1979,,13.249,16.7594,15.0818,13.7531,16.0668
2016-03-11,16.6588,14.6615,13.7857,12.5451,10.3919,,13.4663,15.9085,17.9894,11.2742,15.2866,19.0687,22.4231,14.681,17.833,18.9958,17.153,23.4178,12.2577,17.4605,,13.1279,17.0482,15.4884,13.8188,16.4241
2016-03-12,,,,,,,,,,11.2748,,,,,,18.9958,,,,,,,,,,
2016-03-13,,,,,,,,,,11.2749,,,,,,18.9958,,,,,,,,,,
2016-03-14,16.7204,14.7052,13.8477,12.7153,10.5619,,13.3178,15.9225,18.1292,11.293,14.6943,19.1651,22.4611,14.5324,17.8607,19.071,17.4214,23.3922,12.4688,17.4629,,12.8518,17.0284,15.5906,14.0272,16.5067
2016-03-15,16.4811,14.5813,13.859,12.607,10.5275,,12.7796,15.9473,18.3691,11.2877,12.0297,18.9555,21.5793,14.0155,17.8675,18.8697,17.3136,23.0185,12.5372,17.3052,1895.0311,12.7895,17.011,15.4254,13.9485,16.3615
2016-03-16,16.5057,14.5348,13.6868,12.6709,10.535,,13.0006,16.0156,18.4071,11.3228,12.6759,19.2262,21.7954,14.2059,17.9865,18.9722,17.1843,23.2171,12.6069,17.2157,,13.447,17.1078,15.4366,13.8516,16.4447
2016-03-17,16.669,14.4916,13.8396,12.5657,10.9291,,13.9702,16.1638,18.5851,11.4174,12.9528,19.5224,22.6107,15.3384,17.9805,19.0116,17.151,23.5837,12.7904,17.2548,3140.3126,13.8927,17.2212,15.4704,13.8412,16.6039
2016-03-18,16.7153,14.5467,13.8124,12.6449,11.0687,,13.8891,16.2872,18.8842,11.4338,12.8687,19.589,23.1083,15.2456,18.0261,19.2439,16.941,23.7326,12.9784,17.156,3368.996,14.2448,17.3018,15.5064,13.6985,16.5687
2016-03-19,,,,,,,,,,11.4409,,,,,,19.2439,,,,,,,,,,
2016-03-20,,,,,,,,,,11.4403,,,,,,19.2425,,,,,,,,,,
2016-03-21,16.6625,14.5618,13.8293,12.6497,11.054,,14.067,16.3227,18.9464,11.4246,13.2685,19.7295,23.6234,15.328,18.0864,19.4953,16.9322,23.6498,13.2902,17.083,29.7202,14.6542,17.2792,15.537,13.6961,16.6405
2016-03-22,16.6643,14.5715,14.056,12.7119,11.0366,,14.2054,16.3176,18.8777,11.483,13.5547,19.7326,24.2288,15.3309,18.1328,19.5221,17.2073,23.6573,13.2187,17.0884,29.7646,14.592,17.269,15.5201,13.9134,16.6265
2016-03-23,16.5918,14.545,14.0299,12.7533,11.0176,,14.0743,16.2792,18.6447,11.4864,13.8516,19.7237,24.4285,15.0179,17.9974,19.5278,17.1654,23.2255,13.2613,17.1554,29.5676,14.1868,17.1696,15.513,13.8668,16.5955
