Country,Indicator,2026 (3M Ago),2026 (Current),2027 (Current),2028 (Current)
Brazil,10Y Note,12.12,12.4,-,-
Brazil,CBR (Policy Rate),12.0,12.25,10.5,-
Brazil,GDP,1.7,1.8,1.8,2.15
Brazil,Inflation,4.0,4.0,3.9,3.52
Chile,10Y Note,5.41,5.68,-,-
Chile,CBR (Policy Rate),4.25,4.25,4.25,-
Chile,GDP,2.2,2.5,2.5,2.5
Chile,Inflation,3.0,2.9,3.1,3.1
China,10Y Note,1.65,1.71,1.77,-
China,CBR (Policy Rate),2.79,2.83,2.74,-
China,GDP,4.5,4.6,4.4,4.2
China,Inflation,0.7,0.7,1.0,1.45
Colombia,10Y Note,11.9,-,-,-
Colombia,CBR (Policy Rate),8.88,11.75,10.5,-
Colombia,GDP,2.8,2.7,2.51,2.75
Colombia,Inflation,4.4,5.7,4.6,3.8
European Union,10Y Note,2.86,2.95,-,-
European Union,CBR (Policy Rate),1.98,1.99,2.1,-
European Union,GDP,1.44,1.45,1.65,1.58
European Union,Inflation,1.97,2.02,1.99,-
LATAM,GDP,2.32,2.41,2.42,2.46
LATAM,Inflation,6.1,7.0,5.5,4.51
Mexico,10Y Note,8.11,8.75,8.08,-
Mexico,CBR (Policy Rate),6.5,6.5,6.5,-
Mexico,GDP,1.3,1.5,2.0,2.0
Mexico,Inflation,3.8,3.8,3.8,3.6
Peru,10Y Note,5.82,-,-,-
Peru,CBR (Policy Rate),4.03,4.03,4.15,-
Peru,GDP,3.0,3.0,3.0,3.1
Peru,Inflation,2.1,2.0,2.3,2.5
United States,10Y Note,4.1,4.11,4.12,-
United States,CBR (Policy Rate),3.22,3.26,3.23,-
United States,GDP,2.04,2.42,2.0,2.0
United States,Inflation,2.8,2.7,2.4,2.4
World,GDP,2.95,3.1,3.1,-
World,Inflation,3.35,3.27,2.96,-
