Index,Today (P/E),Hist. Avg,+1 Std,-1 Std,Discount
IPSA (Chile),13.08,13.82,18.36,9.28,-5.4%
Bovespa (Brasil),9.6,12.25,18.29,6.2,-21.6%
Mexbol (Mexico),12.84,15.62,19.36,11.88,-17.8%
Merval (Argentina),9.35,23.6,189.32,-142.11,-60.4%
Colcap (Colombia),9.33,10.95,15.36,6.54,-14.8%
BVL (Peru),7.42,16.96,36.71,-2.79,-56.2%
Dow Jones (US),20.36,19.5,22.23,16.78,4.4%
S&P 500 (US),20.35,20.66,23.83,17.49,-1.5%
Nasdaq 100 (US),22.51,25.57,30.37,20.76,-11.9%
FTSE 100 (UK),13.32,13.84,16.67,11.01,-3.8%
S&P/ASX 200 (Australia),16.92,17.4,20.13,14.66,-2.7%
DAX (Alemania),15.02,14.45,17.08,11.81,4.0%
CAC 40 (Francia),14.83,15.31,18.72,11.89,-3.1%
Swiss Market (Suiza),17.77,18.15,19.52,16.78,-2.1%
Hang Seng (Hong Kong),12.84,11.32,12.87,9.77,13.4%
Nikkei 225 (Japon),22.6,20.58,25.23,15.94,9.8%
Russell 2000 (US),25.9,38.84,70.88,6.8,-33.3%
SMLLBV (Brasil),9.89,34.81,429.48,-359.86,-71.6%
Stoxx Europe 600,14.92,15.47,18.37,12.57,-3.6%
Topix Index (Japon),17.22,15.9,18.95,12.84,8.3%
Hang Seng Tech (Hong Kong),19.17,29.66,40.99,18.34,-35.4%
CSI 300 (China),16.55,13.86,15.53,12.19,19.4%
Nifty 50 (India),18.21,20.69,23.54,17.84,-12.0%
Kospi Index (Corea),8.84,11.66,14.1,9.21,-24.1%
MSCI EM LatAm,10.54,12.71,17.75,7.68,-17.1%
MSCI EM Small Cap,13.95,15.22,18.09,12.36,-8.3%
