Ticker,Index_Name,Price (Local),1W,1M,3M,YTD,1Y,3Y,5Y,10Y,EV/EBITDA (Fwd 12m),P/U (Fwd 12m),EV/EBITDA (Trailing 12m),ROE (Trailing),P/U (Trailing 12m)
IPSA Index,IPSA (Chile),10436.34,-1.7%,-6.3%,0.5%,-0.4%,37.2%,98.8%,118.9%,168.6%,6.9,13.1,8.1,11.903715399476084,14.2
IBOV Index,Bovespa (Brasil),185562.8,3.3%,-3.0%,15.6%,15.2%,40.5%,87.8%,63.1%,273.7%,5.5,9.6,7.0,12.803203203008065,12.0
MEXBOL Index,Mexbol (Mexico),66791.41,1.5%,-6.1%,1.8%,3.9%,25.5%,26.6%,42.1%,46.3%,6.1,12.8,5.7,15.456746081217531,16.0
MERVAL Index,Merval (Argentina),2833964.75,5.2%,1.2%,-9.2%,-7.1%,13.9%,1192.4%,5948.2%,22573.2%,4.6,9.4,4.2,4.818308977566357,37.1
COLCAP Index,Colcap (Colombia),2266.15,4.0%,-4.9%,8.9%,9.6%,38.6%,104.9%,71.7%,71.5%,6.6,9.3,4.3,15.768690681049508,8.3
SPBLPGPT Index,BVL (Peru),34937.73,0.0%,0.0%,0.0%,0.0%,13.8%,63.3%,64.4%,195.5%,,,4.7,16.995386171177575,
INDU Index,Dow Jones (US),46538.0,0.7%,-5.9%,-4.5%,-3.2%,9.3%,44.4%,42.7%,165.7%,13.8,20.4,12.6,23.596310891688752,22.9
SPX Index,S&P 500 (US),6609.93,-0.2%,-4.8%,-4.6%,-3.4%,14.4%,66.5%,69.1%,224.7%,13.8,20.3,16.8,18.85630208514993,25.7
NDX Index,Nasdaq 100 (US),24283.56,-0.6%,-4.1%,-5.3%,-3.8%,19.7%,90.2%,90.0%,451.2%,15.1,22.5,22.1,23.036757507169185,32.6
UKX Index,FTSE 100 (UK),10101.8,-2.0%,-6.5%,2.3%,1.7%,16.6%,36.4%,51.3%,65.4%,8.3,13.3,9.8,12.691126547749656,16.0
AS51 Index,S&P/ASX 200 (Australia),8534.25,-1.2%,-6.5%,-2.6%,-2.1%,7.5%,22.7%,25.7%,67.9%,9.4,16.9,12.7,10.829624874665456,21.1
DAX Index,DAX (Alemania),22987.94,-2.2%,-8.7%,-5.6%,-6.1%,-0.5%,53.7%,57.2%,133.3%,8.7,15.0,11.5,10.084051551014223,16.6
CAC Index,CAC 40 (Francia),7843.45,-1.6%,-8.4%,-3.2%,-3.8%,-3.3%,11.8%,31.8%,81.2%,11.0,14.8,13.8,8.950900500396763,17.3
SMI Index,Swiss Market (Suiza),12721.95,-0.3%,-9.0%,-3.9%,-4.1%,-2.2%,19.6%,14.6%,63.6%,12.5,17.8,12.4,23.38738095473397,18.9
HSI Index,Hang Seng (Hong Kong),25335.95,-2.6%,-5.3%,-1.9%,-1.1%,8.5%,27.2%,-9.2%,24.5%,10.6,12.8,12.8,10.356373178757195,12.9
NKY Index,Nikkei 225 (Japon),53749.62,-2.7%,-8.3%,6.6%,6.8%,42.3%,96.3%,87.1%,216.1%,13.5,22.6,11.4,11.396665431585893,21.2
RTY Index,Russell 2000 (US),2543.22,2.6%,-4.5%,-0.2%,2.5%,21.4%,46.6%,16.5%,135.6%,12.6,25.9,17.6,0.636676191681811,48.9
SMLLBV Index,SMLLBV (Brasil),2414.56,3.9%,-7.6%,5.8%,4.7%,24.0%,35.1%,-12.0%,169.0%,4.9,9.9,6.1,0.9529069857891694,65.8
ACWI US Equity,MSCI World ACWI,139.66,-0.0%,-6.0%,-2.1%,-1.3%,16.6%,58.6%,48.9%,152.9%,,,,,
SXXP Index,Stoxx Europe 600,587.53,-1.7%,-7.3%,-0.2%,-0.8%,6.3%,33.5%,38.9%,75.3%,10.3,14.9,12.1,12.266665998257679,16.9
TPX Index,Topix Index (Japon),3650.99,-1.8%,-5.0%,6.8%,7.1%,30.5%,86.7%,86.7%,167.3%,8.4,17.2,8.4,8.695784047556362,18.7
HSTECH Index,Hang Seng Tech (Hong Kong),4922.94,-3.6%,-6.4%,-10.5%,-10.8%,-10.8%,16.5%,-38.0%,53.9%,10.8,19.2,15.2,8.269570374915922,28.8
SHSZ300 Index,CSI 300 (China),4537.47,-2.6%,-4.2%,-2.3%,-2.0%,15.4%,12.7%,-7.9%,41.9%,19.0,16.6,19.3,10.183771521778716,17.9
NIFTY Index,Nifty 50 (India),23306.45,-2.0%,-8.5%,-10.8%,-10.8%,-1.5%,37.5%,62.7%,202.0%,12.4,18.2,15.3,16.24920380138325,21.6
KOSPI Index,Kospi Index (Corea),5642.21,-4.8%,-7.3%,37.3%,33.9%,115.7%,133.6%,87.6%,184.4%,5.0,8.8,8.5,8.120989966058257,21.3
MXLA Index,MSCI EM LatAm,2985.25,-0.3%,-9.1%,10.1%,10.2%,40.1%,43.7%,32.6%,43.5%,6.0,10.5,6.2,16.55756401346584,12.5
MXEFSC Index,MSCI EM Small Cap,1649.67,-4.2%,-9.3%,1.3%,1.1%,21.1%,43.9%,29.4%,84.3%,7.0,14.0,10.1,7.136554281540554,20.7
