date,S&P/ASX 200,CAC 40,Colcap,DAX,Hang Seng,Ibovespa,Dow Jones,IPSA,Merval,Mexbol,Nasdaq 100,Nikkei 225,Russell 2000,Swiss Market,SMLLBV,Bvl,S&P 500,FTSE 100
2021-02-17,29.0941,29.0234,20.4293,20.8335,16.1687,32.3774,20.4198,27.2575,322.602,37.0266,38.327,25.1405,146.7248,22.6048,,99.5775,31.6959,23.4646
2021-02-18,29.0512,17.1589,20.2407,20.396,15.9327,32.3413,20.3142,27.0092,330.3877,37.4486,38.1424,25.1091,150.4451,18.3755,,98.6473,31.5691,23.0418
2021-02-19,28.7867,17.3441,20.2944,20.0589,15.9148,32.0279,20.3283,27.6375,325.0707,37.7845,37.9852,24.8453,148.2396,18.3787,,99.8976,31.3951,22.924
2021-02-22,28.7467,17.3728,20.2981,19.9779,15.8107,28.9405,20.3231,27.2048,,37.8237,36.9864,24.9248,189.2749,18.326,,101.5886,31.1244,22.9435
2021-02-23,18.833,17.3747,20.3446,19.6501,16.0322,29.6368,20.2989,26.4787,103.0212,38.1345,36.9307,24.918,176.9352,18.1712,,101.5864,22.3661,22.9524
2021-02-24,18.6648,17.4084,21.7885,19.8321,15.3657,19.0676,20.6063,25.7336,106.7884,38.0686,37.2797,24.3698,185.0492,18.3483,,101.6748,22.636,22.666
2021-02-25,18.8483,17.3461,20.7322,21.5773,15.5216,17.8505,20.2636,27.3001,105.3116,14.6355,36.0519,24.7325,144.063,18.202,,15.6246,22.0869,22.667
2021-02-26,18.2988,17.0521,21.025,21.4684,15.0283,17.5041,19.9495,24.4875,101.365,14.7423,36.2695,23.7481,34.0979,17.9648,,15.7296,21.9585,22.1598
2021-03-01,18.6385,17.3151,22.6589,21.7746,15.2733,17.4958,20.2628,24.831,101.9445,14.824,37.3273,24.2114,35.4292,18.2537,,15.8794,22.4431,22.5331
2021-03-02,18.6027,17.3329,22.5643,21.7712,15.0924,17.5815,20.1632,25.2731,101.9873,15.1529,36.7083,23.9541,34.6981,18.4064,,15.9056,22.2538,22.7334
2021-03-03,18.7503,17.3808,22.5171,21.8316,15.4972,17.515,20.0858,15.5351,100.2868,15.3729,35.6851,23.9934,34.3197,18.3069,,15.9241,21.9548,23.2762
2021-03-04,18.4944,17.441,21.7861,15.7527,15.1106,10.8518,19.8561,15.0677,22.1607,15.2475,35.1778,23.4675,33.3267,18.1364,,15.6193,21.6489,14.8318
2021-03-05,18.2778,17.2955,21.9144,15.5971,15.0398,11.046,20.1804,15.1021,21.8918,15.3608,35.755,23.4309,34.011,17.8968,,15.618,22.0561,14.7468
2021-03-08,18.3449,17.6229,12.0204,16.1043,14.7426,10.5612,20.3649,15.1194,18.7253,15.4222,34.7121,23.3176,34.0555,18.2351,,15.5571,21.9203,14.9464
2021-03-09,18.4394,17.6932,12.2521,16.1596,14.8608,10.6186,20.3592,15.5334,19.1463,15.4415,36.1103,23.5322,34.7506,18.3137,,15.5626,22.224,14.9241
2021-03-10,18.2814,17.8611,12.3137,16.2901,14.9377,10.7916,20.6677,15.8616,12.6186,15.5912,35.9906,23.5055,35.3468,18.3998,,15.6004,22.3615,14.8973
2021-03-11,18.3055,17.9988,12.3936,16.3308,15.3877,10.936,20.791,15.7395,12.8116,15.6367,27.7678,23.6563,36.0375,18.3555,,15.595,22.5683,14.9279
2021-03-12,18.4464,17.9825,12.424,16.2382,15.009,10.8601,20.9982,15.7744,12.9696,15.6684,27.5278,24.0434,36.2786,18.2866,,15.6054,22.5889,14.8999
2021-03-15,18.4456,17.8869,12.4812,16.2242,15.0548,10.7287,21.0923,15.7612,13.2117,15.661,27.8456,23.9536,36.2965,18.3412,,15.5327,22.7097,14.8226
