COUNTRY,METRIC,Q1 25,Q2 25,Q3 25,Q4 25,Q1 26,Q2 26,Q3 26,Q4 26,Q1 27,Q2 27,Q3 27,Q4 27
Brazil,"GDP (Annual, %)",-,-,-,1.7283,1.296,1.4323,1.8292,2.2107,2.1291,2.1422,1.9601,1.8103
Brazil,"INFLATION RATE (EOP, %)",-,-,-,-,3.5065,3.5491,3.7492,4.1113,4.0722,3.9676,3.8337,3.7888
Brazil,"MONETARY POLICY RATE (EOP, %)",-,-,-,-,14.5568,13.5795,12.6705,12.1477,11.7031,11.2833,10.8667,10.55
Brazil,"10 YEARS NOMINAL INTEREST RATE (EOP, %)",-,-,-,-,13.4956,13.1391,12.8078,12.5675,12.3637,12.0168,11.6837,11.4065
Chile,"GDP (Annual, %)",-,-,-,1.8354,1.5935,2.345,2.6931,2.483,2.5099,2.4795,2.3319,2.1886
Chile,"INFLATION RATE (EOP, %)",-,-,-,-,2.6413,2.9666,2.7058,2.9277,2.9413,3.0358,2.9773,2.9792
Chile,"MONETARY POLICY RATE (EOP, %)",-,-,-,-,4.3553,4.2237,4.2237,4.2368,4.25,4.2833,4.3,4.3167
Chile,"10 YEARS NOMINAL INTEREST RATE (EOP, %)",-,-,-,-,5.339,5.3128,5.2983,5.3106,5.397,5.3705,5.3458,5.3104
Mexico,"GDP (Annual, %)",-,-,-,-,1.0238,1.0401,1.6174,1.6137,1.7955,1.9172,1.7315,1.6989
Mexico,"INFLATION RATE (EOP, %)",-,-,-,-,4.0785,3.539,3.9594,3.9831,3.9132,3.817,3.8353,3.7773
Mexico,"MONETARY POLICY RATE (EOP, %)",-,-,-,-,6.9048,6.5714,6.4881,6.4524,6.4167,6.4118,6.4265,6.4412
Mexico,"10 YEARS NOMINAL INTEREST RATE (EOP, %)",-,-,-,-,8.651,8.407,8.2617,8.1661,7.951,7.902,7.8607,7.805
Colombia,"GDP (Annual, %)",-,-,-,2.6308,2.8162,2.9175,2.6086,2.7354,2.665,2.6168,2.5633,2.5006
Colombia,"INFLATION RATE (EOP, %)",-,-,-,-,5.4938,5.5897,5.5514,5.7344,5.3182,5.1253,4.8669,4.6791
Colombia,"MONETARY POLICY RATE (EOP, %)",-,-,-,-,10.825,11.475,11.5625,11.6125,11.3833,11.0536,10.4821,9.9464
Colombia,"10 YEARS NOMINAL INTEREST RATE (EOP, %)",-,-,-,-,12.351,12.5599,12.3094,12.1454,11.6636,11.3333,11.0469,10.7483
Peru,"GDP (Annual, %)",-,-,-,2.9621,2.9574,3.0909,2.5064,2.951,2.8067,2.8651,2.934,2.9459
Peru,"INFLATION RATE (EOP, %)",-,-,-,-,1.6091,1.626,2.1373,2.2305,2.1819,2.246,2.3155,2.3327
Peru,"MONETARY POLICY RATE (EOP, %)",-,-,-,-,4.1538,4.1346,4.0962,4.0833,4.1667,4.1818,4.2045,4.25
Peru,"10 YEARS NOMINAL INTEREST RATE (EOP, %)",-,-,-,-,5.9307,6.0463,6.1462,6.2815,6.2953,6.2731,6.2511,6.2682
Argentina,"GDP (Annual, %)",-,-,-,1.7583,2.047,3.0947,3.6437,4.0829,3.5385,3.1983,3.0286,2.8269
Argentina,"INFLATION RATE (EOP, %)",-,-,-,-,28.8454,27.6614,25.5807,21.1969,18.2257,15.9601,14.4836,13.5179
Argentina,"MONETARY POLICY RATE (EOP, %)",-,-,-,-,-,-,-,-,-,-,-,-
Argentina,"10 YEARS NOMINAL INTEREST RATE (EOP, %)",-,-,-,-,-,-,-,-,-,-,-,-
