Index,Today (P/E),Hist. Avg,+1 Std,-1 Std,Discount
IPSA,13.59,10.42,13.41,7.44,30.4%
Ibovespa,10.02,8.36,10.35,6.36,19.9%
Mexbol,12.84,13.28,15.33,11.24,-3.3%
Merval,9.21,13.75,30.45,-2.95,-33.0%
Colcap,9.17,7.58,10.24,4.92,21.0%
Bvl,7.49,10.82,17.12,4.53,-30.8%
Dow Jones,20.84,19.86,22.07,17.65,4.9%
S&P 500,21.2,21.67,24.29,19.05,-2.2%
Nasdaq 100,24.41,28.09,31.62,24.57,-13.1%
FTSE 100,13.85,12.2,14.12,10.28,13.5%
S&P/ASX 200,16.99,17.22,19.67,14.78,-1.3%
DAX,15.49,13.99,16.36,11.63,10.7%
CAC 40,15.16,14.32,16.72,11.91,5.9%
Swiss Market,18.09,18.25,19.2,17.29,-0.9%
Hang Seng,12.8,10.77,12.47,9.08,18.8%
Nikkei 225,22.27,20.48,23.29,17.67,8.8%
Russell 2000,25.36,31.45,43.33,19.58,-19.4%
SMLLBV,9.97,16.79,23.48,10.1,-40.6%
