Ticker,Index_Name,Price (USD),1W,1M,3M,YTD,1Y,3Y,5Y,EV/EBITDA NTM,P/U NTM,EV/EBITDA LTM,ROE,P/U LTM
IPSA Index,IPSA,11.65,-2.5%,-7.3%,5.5%,0.2%,41.1%,89.4%,72.9%,7.2,13.6,7.9,12.0%,15.1
IBOV Index,Ibovespa,35021.5,-1.8%,-1.9%,22.8%,19.2%,52.4%,81.0%,69.8%,5.6,10.0,6.8,12.7%,11.9
MEXBOL Index,Mexbol,3738.75,-2.8%,-9.9%,7.7%,4.7%,41.6%,35.8%,62.5%,6.1,12.8,5.7,15.5%,16.1
MERVAL Index,Merval,1903.07,-1.4%,-5.4%,-9.1%,-9.4%,-13.4%,74.5%,247.7%,4.5,9.1,4.2,4.8%,35.4
COLCAP Index,Colcap,0.59,-3.9%,-8.8%,11.1%,7.8%,47.0%,157.3%,56.9%,5.8,9.2,4.3,12.8%,9.9
SPBLPGPT Index,Bvl,9900.18,0.0%,0.0%,0.0%,0.0%,20.7%,75.1%,63.5%,,,4.7,16.9%,
INDU Index,Dow Jones,47082.62,-1.3%,-4.9%,-1.7%,-2.0%,12.5%,47.8%,42.6%,14.3,20.8,12.6,23.6%,23.3
SPX Index,S&P 500,6728.5,-0.8%,-1.7%,0.1%,-1.7%,18.6%,71.8%,69.3%,14.3,21.1,16.9,18.8%,26.3
NDX Index,Nasdaq 100,24805.79,-0.6%,0.4%,0.6%,-1.8%,25.2%,98.1%,87.9%,16.1,24.3,22.1,23.0%,33.4
UKX Index,FTSE 100,13897.13,-0.9%,-2.8%,6.2%,4.0%,23.2%,55.5%,48.3%,8.5,13.8,9.5,12.7%,16.6
AS51 Index,S&P/ASX 200,6127.34,-1.5%,-3.2%,8.0%,5.4%,22.2%,30.6%,17.0%,9.5,17.0,12.7,10.8%,21.4
DAX Index,DAX,27385.48,-1.9%,-7.5%,-2.7%,-4.9%,8.4%,73.7%,57.6%,9.0,15.5,11.0,9.9%,17.3
CAC Index,CAC 40,9202.56,-1.9%,-7.0%,-3.1%,-3.8%,4.4%,24.5%,27.6%,11.2,15.2,13.7,8.7%,20.0
SMI Index,Swiss Market,16521.04,-1.8%,-7.4%,0.8%,-1.5%,11.4%,44.4%,40.3%,12.8,18.1,12.4,23.3%,19.3
HSI Index,Hang Seng,3300.86,-0.5%,-3.4%,0.8%,0.2%,6.2%,32.7%,-11.7%,10.7,12.8,12.7,10.4%,13.2
NKY Index,Nikkei 225,337.82,-1.9%,-8.3%,6.1%,4.9%,34.6%,63.2%,23.4%,13.5,22.3,11.4,11.4%,21.2
RTY Index,Russell 2000,2519.82,-1.1%,-4.8%,1.1%,1.5%,21.8%,46.0%,7.9%,12.4,25.2,16.7,0.7%,48.1
SMLLBV Index,SMLLBV,457.66,-4.2%,-6.4%,11.8%,8.9%,35.9%,29.1%,-7.7%,5.0,10.0,6.0,1.4%,54.8
