COMPANIES (GLORY),% PORTFOLIO,% GDUEEGFL,OVERWEIGHT/UNDERWEIGHT
MULTIPLAN,0.0334032743298777,0,0.0334032743298777
GENTERA,0.032711813182590505,0,0.032711813182590505
MERCADOLIBRE,0.03023447482317951,0,0.03023447482317951
B3,0.044948274542717714,0.0198403946,0.025107879942717716
GRUPO MEXICO,0.06559025922381397,0.0419289048,0.023661354423813966
VISTA OIL & GAS,0.015397090084576322,0,0.015397090084576322
ITAUCORP,0.01496991992828555,0,0.01496991992828555
DIRECIONAL ENGENHARIA,0.014872162343802469,0,0.014872162343802469
VIVARA,0.014585340116208127,0,0.014585340116208127
ITAU,0.07109742809711411,0.0565898634,0.01450756469711411
BANCO BTG PACTUAL,0.029796887629521936,0.015410421,0.014386466629521935
LOCAWEB,0.014276939379394928,0,0.014276939379394928
EQUATORIAL ENERGIA,0.024169500467083327,0.0105513953,0.013618105167083326
GRUPO FINANCIERO BANORTE,0.04738059279491167,0.0341086534,0.01327193939491167
CREDICORP,0.037022999551635724,0.0251444323,0.011878567251635726
M DIAS BRANCO,0.010603787797592606,0,0.010603787797592606
PETRO RIO,0.020221318859874673,0.0096569216,0.010564397259874674
CYRELA,0.009283044195742145,0,0.009283044195742145
MILLS ESTRUTURAS,0.008971291761252671,0,0.008971291761252671
DLOCAL,0.008935878822415897,0,0.008935878822415897
COSAN,0.008679872915986969,0,0.008679872915986969
LOCALIZA,0.018070673977460504,0.0102136318,0.007857042177460504
LOJAS RENNER,0.007793237166027082,0,0.007793237166027082
BRAVA ENERGIA,0.007591845895621719,0,0.007591845895621719
INVERSIONES LA CONSTRUCCION,0.006958255791091305,0,0.006958255791091305
GRUPO CEMENTOS CHIHUAHUA,0.00692554577049156,0,0.00692554577049156
FLEURY,0.006284173121484427,0,0.006284173121484427
PARQUE ARAUCO,0.006225930823757105,0,0.006225930823757105
AGI INC,0.005900675787472431,0,0.005900675787472431
AXIA ENERGIA,0.02758240756802035,0.02296407,0.00461833756802035
VULCABRAS AZALEIA,0.004440389548617863,0,0.004440389548617863
BUENAVENTURA,0.01143568454436472,0.0070747423,0.00436094224436472
GRUPO AEROPORTUARIO SURESTE,0.011646797389498208,0.0075338152,0.004112982189498208
COGNA EDUCACAO,0.0038973316136194872,0,0.0038973316136194872
