COMPANIES (MERCER),% PORTFOLIO,% M1LAIM,OVERWEIGHT/UNDERWEIGHT
MULTIPLAN,0.03571750802607945,0.0020589782,0.033658529826079454
GRUPO MEXICO,0.06475554513771621,0.0354416536,0.029313891537716213
MERCADOLIBRE,0.026970426319520156,0,0.026970426319520156
GENTERA,0.028426906358152367,0.0031709417,0.025255964658152368
B3,0.04193532152358647,0.018340679,0.023594642523586472
MILLS ESTRUTURAS,0.020461638169645354,0,0.020461638169645354
BANCO BTG PACTUAL,0.033149159395372864,0.0136272565,0.019521902895372863
CREDICORP,0.04207774112583137,0.0239646224,0.018113118725831368
LOCAWEB,0.016047820950517846,0,0.016047820950517846
GRUPO FINANCIERO BANORTE,0.04512221851077956,0.0290929193,0.016029299210779564
INVERSIONES LA CONSTRUCCION,0.016634441506776287,0.0008702699,0.015764171606776286
ITAU,0.06305195810811784,0.0473166349,0.015735323208117838
VISTA OIL & GAS,0.014294237010789338,0,0.014294237010789338
DIRECIONAL ENGENHARIA,0.013993624861365964,0.000942997,0.013050627861365965
EQUATORIAL ENERGIA,0.022890887932850455,0.0098704519,0.013020436032850455
AXIA ENERGIA,0.03416304140903681,0.021859442299999997,0.012303599109036813
CYRELA,0.012386377916075322,0.0014740259,0.010912352016075322
FLEURY,0.010684219427034366,0.0007818276,0.009902391827034366
ITAUCORP,0.010722414439131484,0.0017827556,0.008939658839131484
DLOCAL,0.008913642592506786,0,0.008913642592506786
KIMBERLY-CLARK MEXICO,0.011250316822497795,0.0037866262,0.007463690622497795
SOQUIMICH,0.018906572458246132,0.01171462,0.007191952458246132
REDE DOR SAO LUIZ,0.013205056023240154,0.006050222,0.007154834023240154
BRAVA ENERGIA,0.008512236547765032,0.0013732377,0.007138998847765032
INTERCORP,0.007716589649017779,0.0016347217,0.006081867949017779
CCU,0.006666009525469446,0.0008193041,0.005846705425469446
OPERADORA SITES MEXICANOS,0.0055030678081619214,0,0.0055030678081619214
PETRO RIO,0.015234984708062036,0.0098840606,0.005350924108062037
BUENAVENTURA,0.011330331211501843,0.006342613,0.0049877182115018424
WAL-MART MEXICO,0.02285876394022945,0.0180673845,0.004791379440229452
COSAN,0.006178149928273745,0.0014398802,0.004738269728273745
AGI INC,0.004558773684351877,0,0.004558773684351877
GRUPO CEMENTOS CHIHUAHUA,0.00644082807116962,0.0018829157,0.00455791237116962
NUBANK,0.055930239313770815,0.0513793268,0.004550912513770815
GRUPO AEROPORTUARIO SURESTE,0.010731726758732118,0.0062228829,0.004508843858732118
M DIAS BRANCO,0.004104750199358876,0.0003067533,0.0037979968993588757
RUMO LOGISTICA,0.007828583312566969,0.0043649453,0.003463638012566969
GRUPO SPORTS,0.003438616145374616,0,0.003438616145374616
VULCABRAS AZALEIA,0.00362420833472946,0.0002705242,0.0033536841347294602
MEGACABLE,0.004990374332631736,0.0017104995,0.003279874832631736
VIVARA,0.0035330591189295228,0.0006700379,0.002863021218929523
COGNA EDUCACAO,0.003971434155011672,0.0012563445,0.002715089655011672
ENTEL,0.003028347112487859,0.0006649779,0.002363369212487859
FERREYROS,0.0022745089879642813,0,0.0022745089879642813
C&A MODAS,0.002357257073632077,0.0004950167,0.0018622403736320773
GRUPO TRAXION,0.0012959195446094868,0,0.0012959195446094868
PARQUE ARAUCO,0.004266902036430269,0.0031032216,0.001163680436430269
TRANSPORTADORA GAS SUR,0.0006654526178214349,0,0.0006654526178214349
TOTVS,0.004231127642571621,0.0038497439,0.0003813837425716213
ALSEA,0.002145214182252069,0.0018139088,0.0003313053822520688
LOCALIZA RENT A CAR,0.00029450983493056103,0,0.00029450983493056103
BANCO CHILE,0.00956319670055305,0.0094501629,0.00011303380055305116
GRUPO INV. SURAMERICANA,2.3004231429135003e-05,0,2.3004231429135003e-05
PROCAPS,8.620409012819746e-06,0,8.620409012819746e-06
BANCO DO BRASIL,0.008412213783889592,0.0084453832,-3.316941611040784e-05
AFYA,0,0.0002247713,-0.0002247713
VTEX,0,0.0002512528,-0.0002512528
FERBASA,0,0.0002519624,-0.0002519624
LOCALIZA,0.008019867261707834,0.0082813626,-0.0002614953382921656
VINCI PARTNERS INVESTMENTS,0,0.0002747245,-0.0002747245
MARCOPOLO,0.0008771504517153919,0.0011534167,-0.0002762662482846081
INTELBRAS,0,0.0002832678,-0.0002832678
GRENDENE,0,0.0002957524,-0.0002957524
FRAS-LE,0,0.0003065309,-0.0003065309
PETRORECONCAVO,0,0.0003498366,-0.0003498366
SAO PAULO ALPARGATAS,0,0.000365519,-0.000365519
TRES TENTOS AGROINDUSTRIAL,0,0.0003805177,-0.0003805177
MAHLE-METAL LEVE,0,0.0003852195,-0.0003852195
MINERVA,0,0.0004011859,-0.0004011859
VAMOS,0,0.0004060751,-0.0004060751
MINEROS,0,0.000416444,-0.000416444
ALUMINIO CBA,0,0.0004190877,-0.0004190877
DEXCO,0,0.0004408344,-0.0004408344
BRASKEM,0,0.0004444005,-0.0004444005
BANCO ABC BRASIL,0,0.0004476611,-0.0004476611
HIDROVIAS DO BRASIL,0,0.0004774041,-0.0004774041
SIMPAR,0,0.0004836864,-0.0004836864
DANHOS,0,0.0004912761,-0.0004912761
RIPLEY,0,0.0005143342,-0.0005143342
INVERSIONES AGUAS METROPOLITANAS,0,0.0005353677,-0.0005353677
CAP,0,0.0005409775,-0.0005409775
SMU,0,0.000545808,-0.000545808
JHSF,0,0.0005459251,-0.0005459251
SAO MARTINHO,0,0.0005508551,-0.0005508551
CONCHA Y TORO,0,0.0005739382,-0.0005739382
HAPVIDA,0,0.0005843896,-0.0005843896
LACOMER,0,0.0005933708,-0.0005933708
GRUPO MATEUS,0,0.0006095408,-0.0006095408
FALABELLA,0.0038545388880953935,0.0044771811,-0.0006226422119046063
MRV ENGENHARIA,0,0.0006242446,-0.0006242446
ORIZON VALORIZACAO DE RESIDUOS,0,0.0006359119,-0.0006359119
ECORODOVIAS,0,0.0006464741,-0.0006464741
USIMINAS,0,0.0006488856,-0.0006488856
IRB BRASIL RESSEGUROS,0,0.0006507346,-0.0006507346
CSN,0,0.0007042125,-0.0007042125
BANCO EST. RIO GRANDE DO SUL,0,0.0007070085,-0.0007070085
UNIPAR PARTICIPACOES,0,0.0007354375,-0.0007354375
SIGMA LITHIUM,0,0.000739706,-0.000739706
SLC AGRICOLA,0,0.0007408542,-0.0007408542
ODONTOPREV,0,0.0007432218,-0.0007432218
MAGAZINE LUIZA,0,0.000747599,-0.000747599
VOLARIS,0,0.000760346,-0.000760346
AZZAS 2154,0,0.0007620462,-0.0007620462
GENOMMA LAB,0,0.0007642712,-0.0007642712
ENGIE ENERGIA CHILE,0,0.0008063885,-0.0008063885
PATRIA INVESTMENTS,0,0.0008148324,-0.0008148324
AUREN ENERGIA,0,0.0008843681,-0.0008843681
RAIA DROGASIL,0.005475700444315616,0.0063936829,-0.0009179824556843838
BOLSA MEXICANA,0,0.0009490587,-0.0009490587
VAPORES,0,0.0009607093,-0.0009607093
ALPEK,0,0.0009758905,-0.0009758905
VALE,0.05768173396911252,0.0586588487,-0.0009771147308874836
ORBIA,0,0.0009981377,-0.0009981377
CURY CONSTRUTORA E INCORPORADORA,0,0.0010820965,-0.0010820965
AGUAS ANDINAS,0,0.0011053851,-0.0011053851
BRADESPAR,0,0.0011631714,-0.0011631714
ALUPAR,0,0.0011724133,-0.0011724133
IGUATEMI,0,0.0011776606,-0.0011776606
COLBUN,0,0.0012358755,-0.0012358755
HYPERMARCAS,0,0.0014001202,-0.0014001202
TELEVISA,0,0.0014271968,-0.0014271968
SMARTFIT,0,0.0015021049,-0.0015021049
GRUPO ARGOS,0,0.0015168772,-0.0015168772
GPS,0,0.0015643686,-0.0015643686
NATURA,0,0.0015963021,-0.0015963021
TRANSMISSORA ALIANCA DE ENERGIA ELETRICA,0,0.0016351527,-0.0016351527
CMPC,0,0.0016864082,-0.0016864082
FIBRA MTY,0,0.001701919,-0.001701919
PAGSEGURO DIGITAL,0,0.001703695,-0.001703695
REGIONAL,0.00037507842789839303,0.0021694731,-0.001794394672101607
BANCOLOMBIA,0.012345298546605644,0.0141580989,-0.001812800353394357
EMBOTELLADORA ANDINA,0,0.0018423506,-0.0018423506
ENGIE BRASIL ENERGIA,0,0.0018588313,-0.0018588313
CIA DE SANEAMENTO DO PARANA,0,0.0018780386,-0.0018780386
MACQUARIE MEXICO,0,0.0019218272,-0.0019218272
PORTO SEGURO,0,0.0019733471,-0.0019733471
QUALITAS CONTROLADORA,0,0.0020000416,-0.0020000416
CIA SANEAMENTO MINAS GERAIS,0,0.0020424488,-0.0020424488
INTER & CO,0,0.0020587309,-0.0020587309
ALLOS SA,0,0.0021057764,-0.0021057764
GRUPO COMERCIAL CHEDRAUI,0,0.0021174284,-0.0021174284
CEMENTOS ARGOS,0,0.0021457999,-0.0021457999
SENDAS DISTRIBUIDORA,0,0.0021557354,-0.0021557354
CAIXA SEGURIDADE PARTICIPACOES,0,0.0022454811,-0.0022454811
MBRF GLOBAL FOODS,0,0.0022556492,-0.0022556492
CPFL ENERGIA,0,0.0022892623,-0.0022892623
BANCO DEL BAJIO,0,0.0023758981,-0.0023758981
GRUPO AEROPORTUARIO CENTRO NORTE,0.0016901067439073964,0.0040881126,-0.0023980058560926034
ENEL CHILE,0,0.0024028057,-0.0024028057
FOMENTO ECONOMICO MEXICANO,0.01729679557592233,0.0198055766,-0.0025087810240776685
VIBRA ENERGIA,0.003914681668291475,0.006540697,-0.002626015331708525
AURA MINERALS,0,0.0027474951,-0.0027474951
GRUMA,0,0.0028730328,-0.0028730328
COPEC,0,0.0029919049,-0.0029919049
VESTA,0,0.0030547032,-0.0030547032
MOTIVA INFRAESTRUTURA,0,0.0030985123,-0.0030985123
PROMOTORA Y OPERADORA DE INF,0,0.0031197351,-0.0031197351
LOJAS RENNER,0,0.0031283008,-0.0031283008
KLABIN,0,0.0031697562,-0.0031697562
ENERGISA,0,0.0033051063,-0.0033051063
STONECO,0,0.0033589899,-0.0033589899
MALL PLAZA,0,0.0034879631,-0.0034879631
INTERCONEXION ELECTRICA,0,0.0035751193,-0.0035751193
ALFA,0,0.0037273381,-0.0037273381
CENCOSUD,0,0.0038408326,-0.0038408326
ULTRAPAR,0,0.0039085275,-0.0039085275
GRUPO FINANCIERO INBURSA,0,0.0039759316,-0.0039759316
ENEVA,0,0.0040041682,-0.0040041682
GRUPO CARSO,0,0.00413016,-0.00413016
CIA ENERGETICA MINAS GERAIS,0,0.004145978,-0.004145978
TIM PARTICIPACOES,0,0.0045946728,-0.0045946728
FIBRA UNO,0,0.0046580082,-0.0046580082
BIMBO,0,0.0047023708,-0.0047023708
LATAM AIRLINES,0.00350213575192874,0.0082660929,-0.004763957148071261
PROLOGIS PROPERTY MEXICO,0,0.0047687132,-0.0047687132
BB SEGURIDADE,0,0.0050618228,-0.0050618228
XP,0.0027033599072972514,0.0079584248,-0.005255064892702749
COCA-COLA FEMSA,0,0.0055555078,-0.0055555078
BANCO SANTANDER,0,0.0055696883,-0.0055696883
CIA PARANAENSE DE ENERGIA,0,0.005635999,-0.005635999
GERDAU,0,0.0060784247000000005,-0.0060784247000000005
ARCA CONTINENTAL,0,0.006183735,-0.006183735
BCI,0,0.006241788,-0.006241788
JBS,0,0.0066963333,-0.0066963333
TELEFONICA BRASIL,0,0.0067632047,-0.0067632047
SUZANO PAPEL,0,0.0076597097,-0.0076597097
GRUPO AEROPORTUARIO DEL PACIFICO,0,0.0094636628,-0.0094636628
EMBRAER,0,0.0107191006,-0.0107191006
INDUSTRIAS PENOLES,0,0.0109834859,-0.0109834859
AMBEV,0,0.0146330468,-0.0146330468
CIA. SANEAMENTO BASICO EST. SP,0,0.0147516015,-0.0147516015
ITAUSA,0,0.01598629,-0.01598629
WEG,0,0.0160062174,-0.0160062174
BANCO BRADESCO,0.009724080533662258,0.0261082921,-0.016384211566337743
SOUTHERN COPPER,0,0.0169314179,-0.0169314179
CEMEX,0,0.0171622794,-0.0171622794
AMERICA MOVIL,0.003974544930975009,0.022588473,-0.018613928069024992
PETROBRAS,0.031084849971001617,0.0805744048,-0.04948955482899838
