COMPANIES (MLE (LX)),% PORTFOLIO,% MN40LAU,OVERWEIGHT/UNDERWEIGHT
MERCADOLIBRE,0.0387727830000414,0,0.0387727830000414
MULTIPLAN,0.0356536137616676,0,0.0356536137616676
GRUPO MEXICO,0.07050702812467034,0.040004791185314,0.030502236939356345
LOCALIZA,0.038959416431937045,0.009347593804546,0.029611822627391045
LOJAS RENNER,0.027974381189724833,0,0.027974381189724833
BANCO BTG PACTUAL,0.04276821359544096,0.015381775272411,0.02738643832302996
PETRO RIO,0.03449322772137243,0.011156640315543,0.023336587405829428
GRUPO FINANCIERO BANORTE,0.05588059528534788,0.032838653011995,0.023041942273352885
VISTA OIL & GAS,0.02276637928656038,0,0.02276637928656038
LOCAWEB,0.02112878676516085,0,0.02112878676516085
AEROMEXICO,0.019267196939653185,0,0.019267196939653185
TRANSPORTADORA GAS SUR,0.018451091319812728,0,0.018451091319812728
EQUATORIAL ENERGIA,0.02861775230028118,0.011141279413803001,0.017476472886478182
NUBANK,0.07476739152492842,0.057994450946505,0.01677294057842342
B3,0.03694375693714105,0.020702054197734,0.016241702739407053
DLOCAL,0.01613116811490587,0,0.01613116811490587
CREDICORP,0.04262723428642641,0.027050084204623,0.01557715008180341
QUINENCO,0.011885035277891611,0,0.011885035277891611
SOQUIMICH,0.025019616327012575,0.013222885543106,0.011796730783906575
AXIA ENERGIA,0.036231839079277385,0.024673860742521002,0.011557978336756383
KIMBERLY-CLARK MEXICO,0.013743658509797538,0.004274156916256,0.009469501593541537
CYRELA,0.008445057885321353,0,0.008445057885321353
GRUPO AEROPORTUARIO SURESTE,0.014875876520279411,0.007024083415320999,0.007851793104958413
COSAN,0.005482211846611964,0,0.005482211846611964
EL PUERTO DE LIVERPOOL,0.004195860373243618,0,0.004195860373243618
REDE DOR SAO LUIZ,0.010715580408538018,0.006829192311442999,0.003886388097095019
FIBRA UNO,0.008246912052192634,0.005257730009317,0.0029891820428756344
BUENAVENTURA,0.010059573000837634,0.007159228889068,0.0029003441117696344
BANCOLOMBIA,0.018639678155680916,0.015980964044972,0.0026587141107089172
LOCALIZA RENT A CAR,0.001464729181565492,0,0.001464729181565492
RUMO LOGISTICA,0.006280217061118935,0.004926935100193,0.0013532819609259348
MINSUR,0.0008515978146616519,0,0.0008515978146616519
TOTVS,0.004393629518086681,0.004345401060268,4.822845781868052e-05
VIBRA ENERGIA,0.007206047287304698,0.00738281634599,-0.00017676905868530164
ITAU,0.05319742779347646,0.053408684648173,-0.00021125685469654265
XP,0.007776554392493379,0.008983077517067,-0.0012065231245736207
CMPC,0,0.0019035344193080001,-0.0019035344193080001
ENGIE BRASIL ENERGIA,0,0.00209815716737,-0.00209815716737
PORTO SEGURO,0,0.002227416871678,-0.002227416871678
GRUPO COMERCIAL CHEDRAUI,0,0.002390048791438,-0.002390048791438
CAIXA SEGURIDADE PARTICIPACOES,0,0.002534588403588,-0.002534588403588
MBRF GLOBAL FOODS,0,0.0025460656302419998,-0.0025460656302419998
CPFL ENERGIA,0,0.0025840064169119995,-0.0025840064169119995
ENEL CHILE,0,0.002712168558784,-0.002712168558784
GRUMA,0,0.0032429377252370002,-0.0032429377252370002
COPEC,0,0.0033771147861939997,-0.0033771147861939997
MOTIVA INFRAESTRUTURA,0,0.00349744789204,-0.00349744789204
PROMOTORA Y OPERADORA DE INF,0,0.003521403224342,-0.003521403224342
KLABIN,0,0.003577864468645,-0.003577864468645
ENERGISA,0,0.003730640994552,-0.003730640994552
STONECO,0,0.0037914621883360002,-0.0037914621883360002
MALL PLAZA,0,0.003937040758740001,-0.003937040758740001
INTERCONEXION ELECTRICA,0,0.004035418402699,-0.004035418402699
ALFA,0,0.004207235469156,-0.004207235469156
WAL-MART MEXICO,0.01607964019886105,0.020393572915813996,-0.004313932716952948
CENCOSUD,0,0.004335342480798,-0.004335342480798
ULTRAPAR,0,0.004411753186053,-0.004411753186053
GRUPO FINANCIERO INBURSA,0,0.004487835543277,-0.004487835543277
ENEVA,0,0.004519707675088,-0.004519707675088
TELEFONICA BRASIL,0.0030688680340091395,0.007633972008623,-0.004565103974613861
GRUPO AEROPORTUARIO CENTRO NORTE,0,0.004614459931497,-0.004614459931497
GRUPO CARSO,0,0.0046619210217750005,-0.0046619210217750005
CIA ENERGETICA MINAS GERAIS,0,0.004679775557808,-0.004679775557808
FALABELLA,0,0.0050536212740700005,-0.0050536212740700005
TIM PARTICIPACOES,0,0.00518624014613,-0.00518624014613
GERDAU,0,0.0052976986093050005,-0.0052976986093050005
BIMBO,0,0.005307804295341,-0.005307804295341
PROLOGIS PROPERTY MEXICO,0,0.005382688303738,-0.005382688303738
BB SEGURIDADE,0,0.005713536060459001,-0.005713536060459001
LATAM AIRLINES,0.003262615695458193,0.009330358136289,-0.006067742440830807
BANCO CHILE,0.004557312366154765,0.010666877977708,-0.006109565611553234
COCA-COLA FEMSA,0,0.00627078330467,-0.00627078330467
BANCO SANTANDER,0,0.006286789533925,-0.006286789533925
CIA PARANAENSE DE ENERGIA,0,0.006361637764514,-0.006361637764514
ARCA CONTINENTAL,0,0.00697989523495,-0.00697989523495
BCI,0,0.007045422505841999,-0.007045422505841999
RAIA DROGASIL,0,0.007216874048769,-0.007216874048769
JBS,0,0.007558490862285,-0.007558490862285
ITAUSA,0.009725586590840182,0.018044535980432,-0.008318949389591818
SUZANO PAPEL,0,0.008645902626647,-0.008645902626647
BANCO DO BRASIL,0,0.009532732193247,-0.009532732193247
GRUPO AEROPORTUARIO DEL PACIFICO,0,0.010682115975805,-0.010682115975805
EMBRAER,0,0.012099192322853001,-0.012099192322853001
INDUSTRIAS PENOLES,0,0.012397617381342001,-0.012397617381342001
BANCO BRADESCO,0.013702375587389785,0.029469752924669003,-0.015767377337279218
VALE,0.04998706297629523,0.06621121635755099,-0.01622415338125576
AMBEV,0,0.016517061802302,-0.016517061802302
CIA. SANEAMENTO BASICO EST. SP,0,0.016650880533282997,-0.016650880533282997
WEG,0,0.018067029090022998,-0.018067029090022998
SOUTHERN COPPER,0,0.019111349787716,-0.019111349787716
CEMEX,0,0.019371934891882,-0.019371934891882
FOMENTO ECONOMICO MEXICANO,0,0.022355558394367998,-0.022355558394367998
AMERICA MOVIL,0,0.02549675468859,-0.02549675468859
PETROBRAS,0.02519541948052714,0.090948415605132,-0.06575299612460486
