COMPANIES (MSCLUX),% PORTFOLIO,% MSLUELAN,OVERWEIGHT/UNDERWEIGHT
MINSUR,0.037824723121526765,0,0.037824723121526765
LOCAWEB,0.037019487843669985,0,0.037019487843669985
CYRELA,0.045873218441366374,0.0132989946,0.03257422384136637
MULTIPLAN,0.049651123535053375,0.0188124189,0.030838704635053376
MOURA DUBEUX ENGENHARIA,0.03010324372323504,0,0.03010324372323504
MILLS ESTRUTURAS,0.02336492437378076,0,0.02336492437378076
MARCOPOLO,0.03397844576138353,0.0106504569,0.023327988861383528
MALL PLAZA,0.020890738655364924,0,0.020890738655364924
GRUPO SPORTS,0.018316298312334982,0,0.018316298312334982
CCU,0.02500890383537955,0.0071314537,0.01787745013537955
ENTEL,0.023244407095547533,0.005975465,0.017268942095547534
INTERCORP,0.029235437771223984,0.0139268074,0.015308630371223984
DLOCAL,0.014861466346467215,0,0.014861466346467215
FERREYROS,0.014365631125198229,0,0.014365631125198229
C&A MODAS,0.018828657067372814,0.0044973079,0.014331349167372814
PAMPA ENERGIA,0.013711061538434316,0,0.013711061538434316
COGNA EDUCACAO,0.025039083848462824,0.0114491151,0.013589968748462824
BRAVA ENERGIA,0.025357080029653898,0.0129518787,0.012405201329653897
DIRECIONAL ENGENHARIA,0.02046863816491807,0.0089759508,0.01149268736491807
M DIAS BRANCO,0.01421115663540218,0.0027292949,0.01148186173540218
FLEURY,0.01837578159425708,0.0069677158,0.011408065794257079
CURY CONSTRUTORA E INCORPORADORA,0.020383152433867388,0.0091974687,0.011185683733867389
VULCABRAS AZALEIA,0.012915863938432857,0.0024487962,0.010467067738432857
VIVARA,0.016817895682132634,0.006881631,0.009936264682132635
GRUPO SBF,0.009770508366367312,0,0.009770508366367312
ANDINO INVEST HOLDING,0.009585385762681621,0,0.009585385762681621
FARM PAGUE MENOS,0.009584302753196456,0,0.009584302753196456
ULTRAPAR,0.007818509864330202,0,0.007818509864330202
CAMANCHACA,0.007343287094599497,0,0.007343287094599497
OPERADORA SITES MEXICANOS,0.007092172354737809,0,0.007092172354737809
BANCO SANTANDER BRASIL,0.006728275121210899,0,0.006728275121210899
LOMA NEGRA,0.0065800404158833665,0,0.0065800404158833665
AGI INC,0.006189549830641545,0,0.006189549830641545
GENTERA,0.03388174425439243,0.0277544845,0.00612725975439243
ORIZON VALORIZACAO DE RESIDUOS,0.011605474972463036,0.0058731596,0.005732315372463036
SALFACORP,0.005120522004770077,0,0.005120522004770077
BRADESPAR,0.01488254527921044,0.0101028196,0.00477972567921044
GRUPO CEMENTOS CHIHUAHUA,0.02047928873594822,0.016724878,0.003754410735948222
GBM,0.003720276291401008,0,0.003720276291401008
CONSTELLATION,0.003460848893178604,0,0.003460848893178604
VESTA,0.029866667785559325,0.0272604062,0.0026062615855593253
GRUPO TRAXION,0.002205191118559864,0,0.002205191118559864
ECORODOVIAS,0.007979634545598874,0.005879252,0.0021003825455988747
COSAN,0.014726137525166053,0.0127143585,0.0020117790251660533
COPA HOLDINGS,0.00193154271994445,0,0.00193154271994445
PAGSEGURO DIGITAL,0.01657198252622736,0.0153195306,0.0012524519262273586
ORBIA,0.009364650750755888,0.0085416719,0.0008229788507558879
SMARTFIT,0.013986525726207117,0.0132990251,0.0006875006262071163
INVERSIONES LA CONSTRUCCION,0.007714912202394977,0.0071839375,0.0005309747023949764
MEGACABLE,0.015788609204421673,0.0154503254,0.00033828380442167336
PROCAPS,4.815255027084687e-06,0,4.815255027084687e-06
CAP,0.004360076012840608,0.0043966011,-3.652508715939161e-05
ITAUCORP,0.015434155039076022,0.0155804454,-0.0001462903609239785
EMBOTELLADORA ANDINA,0.014479604853715666,0.0154269714,-0.0009473665462843336
TRES TENTOS AGROINDUSTRIAL,0.0016507023911714813,0.0034497422,-0.0017990398088285188
AFYA,0,0.0019366124,-0.0019366124
LOJAS RENNER,0.02429145484243642,0.0262675515,-0.00197609665756358
VTEX,0,0.0022228738,-0.0022228738
FERBASA,0,0.0022649195,-0.0022649195
INTELBRAS,0,0.0023575238,-0.0023575238
GRENDENE,0,0.0025209631,-0.0025209631
ENGIE ENERGIA CHILE,0.004066777493869503,0.0066069303,-0.002540152806130497
VINCI PARTNERS INVESTMENTS,0,0.0025673411,-0.0025673411
FRAS-LE,0,0.0029338794,-0.0029338794
PETRORECONCAVO,0,0.0030021636,-0.0030021636
SIMPAR,0,0.0030548882,-0.0030548882
MAHLE-METAL LEVE,0,0.0033450244,-0.0033450244
SAO PAULO ALPARGATAS,0,0.003347891,-0.003347891
VAMOS,0,0.0034112867,-0.0034112867
ALUMINIO CBA,0,0.0034845648,-0.0034845648
MINERVA,0,0.0035779152,-0.0035779152
MINEROS,0,0.0035966509,-0.0035966509
DEXCO,0,0.0038067202,-0.0038067202
BANCO ABC BRASIL,0,0.0038505755,-0.0038505755
IGUATEMI,0.006421597578647045,0.0104842975,-0.004062699921352955
BRASKEM,0,0.0041902917,-0.0041902917
HIDROVIAS DO BRASIL,0,0.0043144241,-0.0043144241
RIPLEY,0,0.0043549256,-0.0043549256
DANHOS,0,0.0044228022,-0.0044228022
REGIONAL,0.014633636616461212,0.0191463895,-0.004512752883538787
INVERSIONES AGUAS METROPOLITANAS,0,0.0046182455,-0.0046182455
INTER & CO,0.01341949253785077,0.0181065758,-0.004687083262149229
JHSF,0,0.0048750897,-0.0048750897
SMU,0,0.0048794105,-0.0048794105
BANCO DEL BAJIO,0.015910642645546487,0.0207948379,-0.004884195254453515
LACOMER,0,0.0049275065,-0.0049275065
CONCHA Y TORO,0,0.0050669836,-0.0050669836
SAO MARTINHO,0,0.0051980154,-0.0051980154
GRUPO MATEUS,0,0.0053407257,-0.0053407257
HAPVIDA,0,0.0055284638,-0.0055284638
IRB BRASIL RESSEGUROS,0,0.005624695,-0.005624695
USIMINAS,0,0.0056687074,-0.0056687074
SLC AGRICOLA,0,0.0057755686,-0.0057755686
AZZAS 2154,0,0.0058178562,-0.0058178562
ALSEA,0.009414722276791231,0.0158019031,-0.0063871808232087695
MAGAZINE LUIZA,0,0.0063937998,-0.0063937998
BANCO EST. RIO GRANDE DO SUL,0,0.0063965728,-0.0063965728
MRV ENGENHARIA,0,0.0064719044,-0.0064719044
GENOMMA LAB,0,0.0064800177,-0.0064800177
VOLARIS,0,0.0065146904,-0.0065146904
UNIPAR PARTICIPACOES,0,0.0065637193,-0.0065637193
ODONTOPREV,0,0.0066042067,-0.0066042067
SIGMA LITHIUM,0,0.0070531583,-0.0070531583
ALPEK,0,0.0073961065,-0.0073961065
PATRIA INVESTMENTS,0,0.0074291593,-0.0074291593
AUREN ENERGIA,0,0.0074677183,-0.0074677183
CSN,0,0.007578655,-0.007578655
VAPORES,0,0.0076031156,-0.0076031156
BOLSA MEXICANA,0,0.0083020372,-0.0083020372
AGUAS ANDINAS,0,0.0096102519,-0.0096102519
ALUPAR,0,0.0098456106,-0.0098456106
COLBUN,0,0.010677302,-0.010677302
TELEVISA,0,0.0120675935,-0.0120675935
HYPERMARCAS,0,0.0123118722,-0.0123118722
GRUPO ARGOS,0,0.0124342808,-0.0124342808
GERDAU,0,0.0126424963,-0.0126424963
NATURA,0,0.0137773915,-0.0137773915
TRANSMISSORA ALIANCA DE ENERGIA ELETRICA,0,0.0141554624,-0.0141554624
GPS,0,0.0141565899,-0.0141565899
FIBRA MTY,0,0.0148797043,-0.0148797043
CIA DE SANEAMENTO DO PARANA,0,0.0164634955,-0.0164634955
MACQUARIE MEXICO,0,0.0168430412,-0.0168430412
ALLOS SA,0.0020873154822522175,0.0191260319,-0.017038716417747783
QUALITAS CONTROLADORA,0,0.0174428951,-0.0174428951
CIA SANEAMENTO MINAS GERAIS,0,0.0175202382,-0.0175202382
CEMENTOS ARGOS,0,0.0177453902,-0.0177453902
SENDAS DISTRIBUIDORA,0,0.0195802224,-0.0195802224
AURA MINERALS,0,0.0251271943,-0.0251271943
PARQUE ARAUCO,0,0.025391719,-0.025391719
