COMPANIES (MRV),% PORTFOLIO,% IPSA,OVERWEIGHT/UNDERWEIGHT
ENTEL,0.07941446765205135,0.0090273932,0.07038707445205135
BCI,0.14035689715775973,0.071813018,0.06854387915775972
QUINENCO,0.08180103502876243,0.0177959575,0.06400507752876243
ANTARCHILE,0.048952866589149206,0,0.048952866589149206
MERCADOLIBRE,0.03713039734669541,0,0.03713039734669541
NORTEGRANDE,0.03572425948623062,0,0.03572425948623062
COLBUN,0.04221654321308922,0.0149849223,0.02723162091308922
ENEL GENERACION CHILE,0.02655655037590731,0,0.02655655037590731
FORUS,0.019755692609644628,0,0.019755692609644628
CMPC,0.04007223398413869,0.0219444882,0.018127745784138692
CCU,0.02781969417084621,0.0111050563,0.016714637870846212
EMBOTELLADORA ANDINA,0.03363720903095794,0.0229383619,0.01069884713095794
MALL PLAZA,0.0482742580823218,0.0395811021,0.008693155982321801
SOQUIMICH,0.14473257882614093,0.1394823651,0.005250213726140929
SMU,0,0.0057759783,-0.0057759783
RIPLEY,0,0.0065664959,-0.0065664959
CONCHA Y TORO,0,0.0066767035,-0.0066767035
SALFACORP,0,0.0074841493,-0.0074841493
INVERSIONES AGUAS METROPOLITANAS,0,0.0076036291,-0.0076036291
CAP,0,0.0080006283,-0.0080006283
INVERSIONES LA CONSTRUCCION,0,0.0095586403,-0.0095586403
VAPORES,0,0.0097899564,-0.0097899564
ENGIE ENERGIA CHILE,0,0.0098351956,-0.0098351956
AGUAS ANDINAS,0,0.0146444518,-0.0146444518
CENCOSUD SHOPPING,0,0.0175691294,-0.0175691294
ENEL AMERICAS,0,0.022528801,-0.022528801
ITAUCORP,0,0.0238701136,-0.0238701136
CENCOSUD,0.029129090663521127,0.0541283336,-0.024999242936478875
ENEL CHILE,0,0.0265052502,-0.0265052502
PARQUE ARAUCO,0,0.0322507504,-0.0322507504
COPEC,0,0.0396484479,-0.0396484479
LATAM AIRLINES,0.05185661852915629,0.0925785932,-0.040721974670843715
BANCO CHILE,0.07085385158022167,0.1151122789,-0.04425842731977833
BANCO SANTANDER,0.017424014619948167,0.0655451086,-0.048121093980051835
FALABELLA,0.02429174105345731,0.0756547001,-0.051362959046542686
