COMPANIES (ORANGE),% PORTFOLIO,% FTSE Orange,OVERWEIGHT/UNDERWEIGHT
ENTEL,0.06726679370593025,0,0.06726679370593025
QUINENCO,0.08526139143306252,0.0206966087109804,0.06456478272208212
BCI,0.13750975933297738,0.0767201093585873,0.060789649974390084
ANTARCHILE,0.04818344435948007,0,0.04818344435948007
MERCADOLIBRE,0.0363034727680631,0,0.0363034727680631
NORTEGRANDE,0.0337657049795283,0,0.0337657049795283
ENEL GENERACION CHILE,0.02719047287935094,0,0.02719047287935094
COLBUN,0.044425927568325724,0.0176117082740783,0.026814219294247425
FORUS,0.019822891781031186,0,0.019822891781031186
CCU,0.028838459451820078,0.0124992672819503,0.01633919216986978
CMPC,0.04048016309165562,0.0249871277898397,0.015493035301815922
ALMENDRAL,0.014888618229973673,0,0.014888618229973673
EMBOTELLADORA ANDINA,0.03320917242874936,0.0286689276413246,0.004540244787424756
MALL PLAZA,0.04673739085880298,0.0426284992978902,0.004108891560912778
SOQUIMICH,0.14087136780283194,0.148840754281438,-0.007969386478606066
VAPORES,0,0.0105627922816348,-0.0105627922816348
AGUAS ANDINAS,0,0.0152811398323746,-0.0152811398323746
CENCOSUD SHOPPING,0,0.0192120516066379,-0.0192120516066379
ITAUCORP,0,0.0202645679641553,-0.0202645679641553
ENEL AMERICAS,0,0.0266326098387327,-0.0266326098387327
ENEL CHILE,0,0.0306761480230533,-0.0306761480230533
CENCOSUD,0.029639653716607806,0.063378139944734,-0.0337384862281262
COPEC,0,0.0459674758500066,-0.0459674758500066
BANCO CHILE,0.07433823233771453,0.127548468450519,-0.05321023611280448
BANCO SANTANDER,0.014413643289475968,0.0714106241718437,-0.05699698088236773
FALABELLA,0.02471425548357173,0.0841635413377436,-0.05944928585417188
LATAM AIRLINES,0.05213918450104681,0.112249438062475,-0.06011025356142819
