COMPANIES (PIONERO),% PORTFOLIO,% IGPA Small Cap,OVERWEIGHT/UNDERWEIGHT
PUCOBRE,0.20599534156533814,0,0.20599534156533814
ENAEX,0.123892281583767,0,0.123892281583767
NORTEGRANDE,0.06914435689945249,0,0.06914435689945249
BLUMAR,0.055674340072501924,0,0.055674340072501924
SIGDO KOPPERS,0.05155081541099583,0,0.05155081541099583
EMBOTELLADORA ANDINA,0.04844370800811516,0,0.04844370800811516
BICECORP,0.04470529224825009,0,0.04470529224825009
WATTS,0.035647180498709054,0,0.035647180498709054
ALMENDRAL,0.04893868999174,0.0174726855,0.03146600449174
ECHEVERRIA IZQUIERDO,0.02598267900426305,0,0.02598267900426305
QUINENCO,0.015074337773866542,0,0.015074337773866542
MULTIEXPORT FOODS,0.015012213844820791,0,0.015012213844820791
ENTEL,0.013181964138477043,0,0.013181964138477043
FORUS,0.036558689002303746,0.0262371105,0.010321578502303745
TRICOT,0.00989624144974346,0,0.00989624144974346
ORO BLANCO,0.00931032550514865,0,0.00931032550514865
CRISTALERIAS CHILE,0.009130704942114366,0,0.009130704942114366
CAMANCHACA,0.008681858458676688,0,0.008681858458676688
SOCOVESA,0.00741840885160092,0,0.00741840885160092
FEPASA,0.005788410310564692,0,0.005788410310564692
EDELPA,0.0031570345664435184,0,0.0031570345664435184
CINTAC,0.0021084807911840153,0,0.0021084807911840153
SAAM,0.06713799181910994,0.069965785,-0.002827793180890062
LA POLAR,0,0.0043845032,-0.0043845032
AAISA,0,0.0122304215,-0.0122304215
CLINICA LAS CONDES,0,0.0135041693,-0.0135041693
INGEVEC,0,0.0136608277,-0.0136608277
NATURGY,0,0.0145973835,-0.0145973835
INVERCAP,0,0.0171035524,-0.0171035524
SONDA,0,0.0184861012,-0.0184861012
EMBONOR,0.027998503586490153,0.0484806292,-0.020482125613509847
BANVIDA,0,0.0294039969,-0.0294039969
INDISA,0,0.0318593357,-0.0318593357
INVERSIONES LA CONSTRUCCION,0.043825521999083905,0.0876941967,-0.0438686747009161
NUAM,0,0.044327975,-0.044327975
BESALCO,0,0.051426119,-0.051426119
SALFACORP,0.015744627677238793,0.0726317792,-0.056887151522761206
SMU,0,0.0589018229,-0.0589018229
RIPLEY,0,0.0655231693,-0.0655231693
CONCHA Y TORO,0,0.066681496,-0.066681496
INVERSIONES AGUAS METROPOLITANAS,0,0.0738093341,-0.0738093341
CAP,0,0.0749486584,-0.0749486584
ENGIE ENERGIA CHILE,0,0.0866689478,-0.0866689478
