COMPANIES (GLORY),% PORTFOLIO,% GDUEEGFL,OVERWEIGHT/UNDERWEIGHT
MULTIPLAN,0.03191258687731797,0,0.03191258687731797
GENTERA,0.030649020137026823,0,0.030649020137026823
MERCADOLIBRE,0.02668026096016574,0,0.02668026096016574
B3,0.042952896378538115,0.0182194469,0.024733449478538116
GRUPO MEXICO,0.062372904384854454,0.0406198174,0.021753086984854453
VIVARA,0.018382509767217545,0,0.018382509767217545
CREDICORP,0.044387123372756854,0.0261127081,0.018274415272756854
DIRECIONAL ENGENHARIA,0.017398848863022343,0,0.017398848863022343
LOCAWEB,0.015721040511438644,0,0.015721040511438644
ITAUCORP,0.015225655604203324,0,0.015225655604203324
BANCO BTG PACTUAL,0.029867232137086728,0.0154394832,0.014427748937086728
EQUATORIAL ENERGIA,0.025024945007634417,0.0110974912,0.013927453807634417
ITAU,0.06474084239559473,0.0523446814,0.012396160995594728
DLOCAL,0.011937988355771324,0,0.011937988355771324
GRUPO FINANCIERO BANORTE,0.04202425539771401,0.0305117648,0.01151249059771401
M DIAS BRANCO,0.011289087752559006,0,0.011289087752559006
PETRO RIO,0.017923792300107183,0.0086949801,0.009228812200107184
MILLS ESTRUTURAS,0.009214064109102485,0,0.009214064109102485
CYRELA,0.008185253209522816,0,0.008185253209522816
RAIA DROGASIL,0.015637855670828333,0.0075338685,0.008103987170828334
COSAN,0.008019422160824059,0,0.008019422160824059
BRAVA ENERGIA,0.007804514982235103,0,0.007804514982235103
LOJAS RENNER,0.00737076430357935,0,0.00737076430357935
INVERSIONES LA CONSTRUCCION,0.007205894196892487,0,0.007205894196892487
LOCALIZA,0.01656948567179329,0.0095131498,0.007056335871793289
FLEURY,0.00680492946078782,0,0.00680492946078782
WAL-MART MEXICO,0.027853450044909234,0.0213093054,0.006544144644909235
VISTA OIL & GAS,0.006404695893879943,0,0.006404695893879943
GRUPO CEMENTOS CHIHUAHUA,0.0062092544227216545,0,0.0062092544227216545
PARQUE ARAUCO,0.005981742738126003,0,0.005981742738126003
ENTEL,0.005380717885413612,0,0.005380717885413612
VULCABRAS AZALEIA,0.005328447138487008,0,0.005328447138487008
GRUPO MATEUS,0.0051318149525017166,0,0.0051318149525017166
COGNA EDUCACAO,0.004752244308939121,0,0.004752244308939121
GRUPO SPORTS,0.004491508845151143,0,0.004491508845151143
GRUPO TRAXION,0.00438722936834667,0,0.00438722936834667
BUENAVENTURA,0.010825143817330674,0.0068028609,0.004022282917330674
INTERCORP,0.003928647408281105,0,0.003928647408281105
GRUPO AEROPORTUARIO SURESTE,0.011250836543011244,0.0074606298,0.0037902067430112436
RUMO LOGISTICA,0.00831665449825545,0.0046166117,0.00370004279825545
OPERADORA SITES MEXICANOS,0.0034526755612759217,0,0.0034526755612759217
C&A MODAS,0.002924141347128641,0,0.002924141347128641
KIMBERLY-CLARK MEXICO,0.006544392744535252,0.0040357891,0.0025086036445352514
MEGACABLE,0.002437778962719471,0,0.002437778962719471
AXIA ENERGIA,0.02448906395501437,0.022356993999999998,0.0021320699550143735
GLOBANT,0.0020942292783602025,0,0.0020942292783602025
CCU,0.00202121419937967,0,0.00202121419937967
SOQUIMICH,0.015234293256838595,0.0135526139,0.0016816793568385953
BANCO CHILE,0.01318751811603339,0.0117130302,0.0014744879160333898
MARCOPOLO,0.0006189945263802379,0,0.0006189945263802379
LOCALIZA RENT A CAR,0.0006120677626486528,0,0.0006120677626486528
HAPVIDA,0.0004965421008293451,0,0.0004965421008293451
CEMENTOS ARGOS,0.00018203451617282887,0,0.00018203451617282887
REGIONAL,0.00017197776898564924,0,0.00017197776898564924
NUBANK,0.0760130684745822,0.0758543022,0.00015876627458219494
REDE DOR SAO LUIZ,0.008029275371728262,0.0078959783,0.00013329707172826145
PROCAPS,3.324432727279839e-05,0,3.324432727279839e-05
GRUPO INV. SURAMERICANA,1.976034600828423e-05,0,1.976034600828423e-05
ALSEA,4.08210256287977e-06,0,4.08210256287977e-06
TOTVS,0.005009164156710679,0.0056839796,-0.0006748154432893207
FALABELLA,0.00484833546274373,0.0056679881,-0.00081965263725627
BANCO DO BRASIL,0.007938379776852779,0.0089915394,-0.001053159623147221
FOMENTO ECONOMICO MEXICANO,0.02069993513988821,0.0225111903,-0.0018112551601117896
ENGIE BRASIL ENERGIA,0,0.0021145853,-0.0021145853
PORTO SEGURO,0,0.0022020573,-0.0022020573
CMPC,0,0.0022811669,-0.0022811669
CAIXA SEGURIDADE PARTICIPACOES,0,0.0023226008,-0.0023226008
ENEL AMERICAS,0,0.0025965831,-0.0025965831
GRUPO AEROPORTUARIO CENTRO NORTE,0.0023870774448366927,0.0050938241,-0.002706746655163307
MBRF GLOBAL FOODS,0,0.002940779,-0.002940779
CPFL ENERGIA,0,0.0029518994,-0.0029518994
GRUPO COMERCIAL CHEDRAUI,0,0.0029759908,-0.0029759908
ENEL CHILE,0,0.0030765641,-0.0030765641
CIA PARANAENSE DE ENERGIA,0,0.0033479852,-0.0033479852
GRUMA,0,0.0034618625,-0.0034618625
ENERGISA,0,0.0034920477,-0.0034920477
PROMOTORA Y OPERADORA DE INF,0,0.0035291344,-0.0035291344
KLABIN,0,0.0036685567,-0.0036685567
ULTRAPAR,0,0.003699569,-0.003699569
MALL PLAZA,0,0.0037290657,-0.0037290657
MOTIVA INFRAESTRUTURA,0,0.0037550627,-0.0037550627
COPEC,0,0.0040960745,-0.0040960745
STONECO,0,0.0042536282,-0.0042536282
INTERCONEXION ELECTRICA,0,0.0042620834,-0.0042620834
ALFA,0,0.0043065136,-0.0043065136
CIA ENERGETICA MINAS GERAIS,0,0.0044960783,-0.0044960783
TIM PARTICIPACOES,0,0.0045183786,-0.0045183786
ENEVA,0,0.0048102304,-0.0048102304
GRUPO FINANCIERO INBURSA,0,0.0048125707,-0.0048125707
