COMPANIES (MRV),% PORTFOLIO,% IPSA,OVERWEIGHT/UNDERWEIGHT
BCI,0.134383275,0.068558264,0.06582501
ENTEL,0.070222742,0.008063109,0.062159632
QUINENCO,0.079662342,0.0179841,0.061678241
MERCADOLIBRE,0.052418234,0,0.052418234
ANTARCHILE,0.047317276,0,0.047317276
NORTEGRANDE,0.037541055,0,0.037541055
ENEL GENERACION CHILE,0.027383921,0,0.027383921
COLBUN,0.038967106,0.014229758,0.024737348
CMPC,0.045096509,0.021706952,0.023389557
FORUS,0.019923747,0,0.019923747
CCU,0.025841359,0.0103867,0.015454659
EMBOTELLADORA ANDINA,0.035991774,0.022262656,0.013729119
SOQUIMICH,0.15050903,0.142108308,0.008400722
SMU,0,0.005843059,-0.005843059
CONCHA Y TORO,0,0.006280127,-0.006280127
CAP,0,0.006445334,-0.006445334
RIPLEY,0,0.006766769,-0.006766769
INVERSIONES AGUAS METROPOLITANAS,0,0.007693483,-0.007693483
SALFACORP,0,0.007906145,-0.007906145
ENGIE ENERGIA CHILE,0,0.00880513,-0.00880513
INVERSIONES LA CONSTRUCCION,0,0.010045415,-0.010045415
VAPORES,0,0.010259415,-0.010259415
AGUAS ANDINAS,0,0.015049005,-0.015049005
CENCOSUD SHOPPING,0,0.017623738,-0.017623738
MALL PLAZA,0.026431468,0.046354959,-0.019923491
LATAM AIRLINES,0.061984994,0.083825048,-0.021840053
ITAUCORP,0,0.022024942,-0.022024942
ENEL AMERICAS,0,0.022478855,-0.022478855
ENEL CHILE,0,0.025574093,-0.025574093
FALABELLA,0.046470023,0.076058486,-0.029588463
PARQUE ARAUCO,0,0.037054611,-0.037054611
COPEC,0,0.037056227,-0.037056227
BANCO CHILE,0.07836384,0.124288943,-0.045925103
BANCO SANTANDER,0.021491305,0.067799905,-0.0463086
CENCOSUD,0,0.049466466,-0.049466466
