COMPANIES (MERCER),% PORTFOLIO,% M1LAIM,OVERWEIGHT/UNDERWEIGHT
MULTIPLAN,0.0355963927864117,0.002035074,0.0335613187864117
GRUPO MEXICO,0.06538323463320637,0.0354621092,0.029921125433206373
CREDICORP,0.0495971385886586,0.023940386,0.0256567525886586
GENTERA,0.02870405322900923,0.003171079,0.025532974229009228
MERCADOLIBRE,0.02508842464308694,0,0.02508842464308694
B3,0.03812790215539764,0.0162507248,0.021877177355397636
MILLS ESTRUTURAS,0.020525628410494618,0,0.020525628410494618
BANCO BTG PACTUAL,0.033882526217338976,0.0135925213,0.020290004917338976
LOCAWEB,0.019385281461456346,0,0.019385281461456346
INVERSIONES LA CONSTRUCCION,0.017331938858169558,0.0008992832,0.016432655658169558
ITAU,0.06176464730967038,0.046658541,0.01510610630967038
VIVARA,0.014393925380627842,0.0007183494,0.013675575980627842
DIRECIONAL ENGENHARIA,0.014480194748955733,0.0009093425,0.013570852248955732
EQUATORIAL ENERGIA,0.02231782222436239,0.0095173427,0.01280047952436239
GRUPO FINANCIERO BANORTE,0.03923531664990752,0.0278371983,0.011398118349907522
FLEURY,0.012202134638738024,0.0008054317,0.011396702938738025
CYRELA,0.01247675225025138,0.0014690669,0.01100768535025138
DLOCAL,0.010776460336876351,0,0.010776460336876351
ITAUCORP,0.012779590942403211,0.002107268,0.010672322942403212
REDE DOR SAO LUIZ,0.015116029269977772,0.0068686659,0.008247363369977771
PETRO RIO,0.015955265305425743,0.0080586878,0.007896577505425743
WAL-MART MEXICO,0.02558337237489208,0.0178160676,0.00776730477489208
VISTA OIL & GAS,0.007468876209320904,0,0.007468876209320904
CCU,0.008184402554868514,0.0009976306,0.007186771954868514
AXIA ENERGIA,0.026360127958646697,0.0193195595,0.0070405684586466975
KIMBERLY-CLARK MEXICO,0.010500651689307094,0.0035139923,0.006986659389307094
BRAVA ENERGIA,0.0081598371485106,0.0013055308,0.0068543063485106
COSAN,0.008042332638868574,0.0014190537,0.006623278938868574
NUBANK,0.06920765672338962,0.0630520893,0.006155567423389616
INTERCORP,0.0077327755006832925,0.0016246411,0.006108134400683292
OPERADORA SITES MEXICANOS,0.006037710988941597,0,0.006037710988941597
BUENAVENTURA,0.01135814450258754,0.0063057479,0.0050523966025875396
GRUPO CEMENTOS CHIHUAHUA,0.006561478353393489,0.0018928689,0.004668609453393489
M DIAS BRANCO,0.004549964086038358,0.0003372206,0.004212743486038358
COGNA EDUCACAO,0.005918590937086087,0.0017756141,0.0041429768370860875
SOQUIMICH,0.016307185345952095,0.0124748163,0.003832369045952095
GRUPO SPORTS,0.003766558770673678,0,0.003766558770673678
VULCABRAS AZALEIA,0.003791734990505184,0.000280695,0.003511039990505184
ENTEL,0.004245021485460603,0.0008460159,0.003399005585460603
GRUPO AEROPORTUARIO SURESTE,0.009312734774424606,0.0062276812,0.003085053574424606
RUMO LOGISTICA,0.006797314707726386,0.0037586909,0.0030386238077263856
FERREYROS,0.0026854059913838757,0,0.0026854059913838757
BANCO CHILE,0.01258912217713404,0.0100850979,0.00250402427713404
GRUPO TRAXION,0.002077574020720845,0,0.002077574020720845
GRUPO MATEUS,0.002588495805409338,0.000540528,0.0020479678054093377
C&A MODAS,0.0022976417121764506,0.0004785186,0.0018191231121764506
GLOBANT,0.001633620132943593,0,0.001633620132943593
PARQUE ARAUCO,0.004191324971758492,0.0030231178,0.001168207171758492
MEGACABLE,0.0026902437462473696,0.0017869594,0.0009032843462473696
TOTVS,0.005446720873231099,0.0049148971,0.0005318237732310988
ALSEA,0.002086455339018552,0.0017518583,0.0003345970390185521
LOCALIZA RENT A CAR,0.00029099566503208767,0,0.00029099566503208767
BANCO DO BRASIL,0.00817747591501271,0.0081420157,3.546021501271007e-05
PROCAPS,2.3756484431049915e-05,0,2.3756484431049915e-05
MARCOPOLO,0.0011568507139624981,0.0011909847,-3.413398603750186e-05
LOCALIZA,0.007843217197062892,0.0080321622,-0.00018894500293710828
VTEX,0,0.0002104688,-0.0002104688
INTELBRAS,0,0.0002210311,-0.0002210311
AFYA,0,0.0002261189,-0.0002261189
FERBASA,0,0.0002314586,-0.0002314586
PETRORECONCAVO,0,0.0002861789,-0.0002861789
GRENDENE,0,0.0002980857,-0.0002980857
VINCI PARTNERS INVESTMENTS,0,0.0003272876,-0.0003272876
FRAS-LE,0,0.0003370969,-0.0003370969
BRASKEM,0,0.000353513,-0.000353513
MAHLE-METAL LEVE,0,0.0003648275,-0.0003648275
VAMOS,0,0.0003662543,-0.0003662543
SIMPAR,0,0.0003665403,-0.0003665403
TRES TENTOS AGROINDUSTRIAL,0,0.0003880015,-0.0003880015
SAO PAULO ALPARGATAS,0,0.0004100978,-0.0004100978
BANCO ABC BRASIL,0,0.0004245422,-0.0004245422
MINEROS,0,0.0004851908,-0.0004851908
SAO MARTINHO,0,0.0004879534,-0.0004879534
HIDROVIAS DO BRASIL,0,0.0004931371,-0.0004931371
VALE,0.05970591112632439,0.0602165905,-0.0005106793736756113
RIPLEY,0,0.0005244432,-0.0005244432
DEXCO,0,0.0005252227,-0.0005252227
DANHOS,0,0.000528155,-0.000528155
MINERVA,0,0.0005362758,-0.0005362758
LACOMER,0,0.000564468,-0.000564468
INVERSIONES AGUAS METROPOLITANAS,0,0.0005842522,-0.0005842522
ODONTOPREV,0,0.0006041763,-0.0006041763
MRV ENGENHARIA,0,0.0006101511,-0.0006101511
IRB BRASIL RESSEGUROS,0,0.0006138813,-0.0006138813
SMU,0,0.0006141351,-0.0006141351
SLC AGRICOLA,0,0.0006187008,-0.0006187008
USIMINAS,0,0.000626929,-0.000626929
FALABELLA,0.004181447085081771,0.0048101226,-0.0006286755149182291
UNIPAR PARTICIPACOES,0,0.0006464887,-0.0006464887
CAP,0,0.0006480814,-0.0006480814
AZZAS 2154,0,0.0006657367,-0.0006657367
ORIZON VALORIZACAO DE RESIDUOS,0,0.0006732934,-0.0006732934
CONCHA Y TORO,0,0.000673569,-0.000673569
BANCO PANAMERICANO,0,0.000684337,-0.000684337
BANCO EST. RIO GRANDE DO SUL,0,0.0007035768,-0.0007035768
MAGAZINE LUIZA,0,0.0007090628,-0.0007090628
GENOMMA LAB,0,0.000718115,-0.000718115
HAPVIDA,0.00014772274444696228,0.0008755751,-0.0007278523555530377
ECORODOVIAS,0,0.0008183121,-0.0008183121
ALPEK,0,0.0008524259,-0.0008524259
AUREN ENERGIA,0,0.000853306,-0.000853306
RAIA DROGASIL,0.005478852440649497,0.0063446225,-0.0008657700593505029
ENGIE ENERGIA CHILE,0,0.0008983469,-0.0008983469
BOLSA MEXICANA,0,0.0009034979,-0.0009034979
VAPORES,0,0.000913399,-0.000913399
SIGMA LITHIUM,0,0.0009297964,-0.0009297964
CURY CONSTRUTORA E INCORPORADORA,0,0.0009661021,-0.0009661021
VOLARIS,0,0.000968758,-0.000968758
ORBIA,0,0.000974383,-0.000974383
ALUPAR,0,0.0011232067,-0.0011232067
PATRIA INVESTMENTS,0,0.0011757892,-0.0011757892
IGUATEMI,0,0.0011792369,-0.0011792369
CSN,0,0.0011802362,-0.0011802362
BRADESPAR,0,0.0011932293,-0.0011932293
AGUAS ANDINAS,0,0.001197598,-0.001197598
COLBUN,0,0.0013851153,-0.0013851153
HYPERMARCAS,0,0.0014093764,-0.0014093764
NATURA,0,0.001434235,-0.001434235
TELEVISA,0,0.0015510795,-0.0015510795
TRANSMISSORA ALIANCA DE ENERGIA ELETRICA,0,0.0015575385,-0.0015575385
GPS,0,0.001594841,-0.001594841
MACQUARIE MEXICO,0,0.0016707157,-0.0016707157
GRUPO ARGOS,0,0.0016919839,-0.0016919839
SMARTFIT,0,0.0017208546,-0.0017208546
CMPC,0,0.0017623696,-0.0017623696
CIA SANEAMENTO MINAS GERAIS,0,0.0018186007,-0.0018186007
PORTO SEGURO,0,0.0018281789,-0.0018281789
REGIONAL,0.00038849172306954036,0.0022335076,-0.0018450158769304594
ENGIE BRASIL ENERGIA,0,0.0018509481,-0.0018509481
PAGSEGURO DIGITAL,0,0.0018863895,-0.0018863895
QUALITAS CONTROLADORA,0,0.0019876545,-0.0019876545
CAIXA SEGURIDADE PARTICIPACOES,0,0.001994183,-0.001994183
EMBOTELLADORA ANDINA,0,0.0020445196,-0.0020445196
ALLOS SA,0,0.0020493498,-0.0020493498
CIA DE SANEAMENTO DO PARANA,0,0.0020766975,-0.0020766975
ENEL AMERICAS,0,0.0020924923,-0.0020924923
SENDAS DISTRIBUIDORA,0,0.0021250925,-0.0021250925
CEMENTOS ARGOS,0.00027554492144493513,0.0024874482,-0.0022119032785550647
FOMENTO ECONOMICO MEXICANO,0.016539218386244583,0.0188544133,-0.002315194913755418
INTER & CO,0,0.0023218355,-0.0023218355
AURA MINERALS,0,0.0023518546,-0.0023518546
VIBRA ENERGIA,0.0036060761093285112,0.0059753875,-0.002369311390671489
BANCO DEL BAJIO,0,0.002453918,-0.002453918
GRUPO AEROPORTUARIO CENTRO NORTE,0.001761735497061049,0.0042293335,-0.002467598002938951
CPFL ENERGIA,0,0.0024794012,-0.0024794012
GRUPO COMERCIAL CHEDRAUI,0,0.0024803846,-0.0024803846
ENEL CHILE,0,0.0024944157,-0.0024944157
MBRF GLOBAL FOODS,0,0.0025830094,-0.0025830094
CIA PARANAENSE DE ENERGIA,0,0.0028785353,-0.0028785353
VESTA,0,0.0028868295,-0.0028868295
GRUMA,0,0.0028989266,-0.0028989266
LOJAS RENNER,0,0.0029163073,-0.0029163073
PROMOTORA Y OPERADORA DE INF,0,0.0030405931,-0.0030405931
ENERGISA,0,0.0030974985,-0.0030974985
KLABIN,0,0.003102687,-0.003102687
MOTIVA INFRAESTRUTURA,0,0.0033529347,-0.0033529347
MALL PLAZA,0,0.0034567367,-0.0034567367
ULTRAPAR,0,0.00347308,-0.00347308
COPEC,0,0.0036097816,-0.0036097816
ALFA,0,0.003646835,-0.003646835
STONECO,0,0.0036748555,-0.0036748555
CIA ENERGETICA MINAS GERAIS,0,0.0039163326,-0.0039163326
GRUPO FINANCIERO INBURSA,0,0.0040206121,-0.0040206121
TIM PARTICIPACOES,0,0.0040588245,-0.0040588245
INTERCONEXION ELECTRICA,0,0.0041019261,-0.0041019261
GRUPO CARSO,0,0.0041864187,-0.0041864187
ENEVA,0,0.004248419,-0.004248419
GRUPO INV. SURAMERICANA,2.826460256314754e-05,0.004499375999999999,-0.0044711113974368515
CENCOSUD,0,0.0044858878,-0.0044858878
BIMBO,0,0.0047403176,-0.0047403176
FIBRA UNO,0,0.004828718,-0.004828718
BB SEGURIDADE,0,0.0050504089,-0.0050504089
PROLOGIS PROPERTY MEXICO,0,0.0050810909,-0.0050810909
XP,0.002857208830880639,0.0083775797,-0.005520370869119362
COCA-COLA FEMSA,0,0.0057392399,-0.0057392399
TELEFONICA BRASIL,0,0.0058229251,-0.0058229251
ARCA CONTINENTAL,0,0.0060736591,-0.0060736591
BANCO SANTANDER,0,0.0061047057,-0.0061047057
JBS,0,0.0065580011,-0.0065580011
BCI,0,0.006693321,-0.006693321
SUZANO PAPEL,0,0.0070856653,-0.0070856653
GERDAU,0,0.0075582008000000004,-0.0075582008000000004
LATAM AIRLINES,0,0.010333519,-0.010333519
GRUPO AEROPORTUARIO DEL PACIFICO,0,0.0109917867,-0.0109917867
INDUSTRIAS PENOLES,0,0.0126043693,-0.0126043693
CIA. SANEAMENTO BASICO EST. SP,0,0.0133708357,-0.0133708357
AMBEV,0,0.0137420986,-0.0137420986
EMBRAER,0,0.0142639105,-0.0142639105
ITAUSA,0,0.0153433978,-0.0153433978
BANCOLOMBIA,0,0.0158096068,-0.0158096068
AMERICA MOVIL,0.0034024671124963,0.0193224641,-0.0159199969875037
WEG,0,0.0163310986,-0.0163310986
SOUTHERN COPPER,0,0.0171141024,-0.0171141024
BANCO BRADESCO,0.008117810285645616,0.026989836700000002,-0.018872026414354384
CEMEX,0,0.0201003144,-0.0201003144
PETROBRAS,0.02272321660753499,0.0590178068,-0.03629459019246502
