COMPANIES (MLE (LX)),% PORTFOLIO,% MN40LAU,OVERWEIGHT/UNDERWEIGHT
MERCADOLIBRE,0.042264866180572944,0,0.042264866180572944
MULTIPLAN,0.03877706690720346,0,0.03877706690720346
PETRO RIO,0.04732901379043294,0.011297638240866,0.03603137554956694
GRUPO MEXICO,0.07506368296882784,0.041092161960821,0.03397152100800684
LOCALIZA,0.04171677340916961,0.009679050895321,0.03203772251384861
BANCO BTG PACTUAL,0.04429072580594582,0.015403975650832999,0.02888675015511282
LOJAS RENNER,0.027960831531939307,0,0.027960831531939307
AEROMEXICO,0.022963101870108246,0,0.022963101870108246
LOCAWEB,0.02130103893538921,0,0.02130103893538921
GRUPO FINANCIERO BANORTE,0.05320139466091477,0.032765103709723,0.020436290951191774
NUBANK,0.07991034293127935,0.059939329519942,0.019971013411337356
VISTA OIL & GAS,0.019546255806078806,0,0.019546255806078806
EQUATORIAL ENERGIA,0.02950820584840931,0.011109052638684001,0.018399153209725308
B3,0.03845386071277074,0.020837566838474,0.017616293874296737
DLOCAL,0.0168159136811968,0,0.0168159136811968
TRANSPORTADORA GAS SUR,0.016270056501176185,0,0.016270056501176185
CREDICORP,0.040835761723190554,0.027034051138887998,0.013801710584302556
QUINENCO,0.01173525761693708,0,0.01173525761693708
KIMBERLY-CLARK MEXICO,0.014025716303090966,0.004218012207374,0.009807704095716966
CYRELA,0.009075188670265593,0,0.009075188670265593
SOQUIMICH,0.021001192389691815,0.012315214942421,0.008685977447270815
GRUPO AEROPORTUARIO SURESTE,0.015956468954127955,0.007285086172946999,0.008671382781180955
COSAN,0.008338897454167816,0,0.008338897454167816
AXIA ENERGIA,0.03285626169485282,0.024768234549361,0.008088027145491818
EL PUERTO DE LIVERPOOL,0.004551221786963772,0,0.004551221786963772
REDE DOR SAO LUIZ,0.011460748779878235,0.0070631968468469995,0.004397551933031235
FIBRA UNO,0.009080426993976973,0.0055923533704950006,0.003488073623481972
BUENAVENTURA,0.010756882817255979,0.007403001081836999,0.0033538817354189796
ITAU,0.054893350139728916,0.053293673829963,0.0015996763097659156
