COMPANIES (MSCLUX),% PORTFOLIO,% MSLUELAN,OVERWEIGHT/UNDERWEIGHT
LOCAWEB,0.03886211339021482,0,0.03886211339021482
MINSUR,0.038039233360331756,0,0.038039233360331756
CYRELA,0.04517846845151322,0.0129227089,0.03225575955151322
MULTIPLAN,0.04831476976134278,0.0180509554,0.030263814361342782
MOURA DUBEUX ENGENHARIA,0.0298632579155383,0,0.0298632579155383
MILLS ESTRUTURAS,0.02353841238467201,0,0.02353841238467201
MARCOPOLO,0.0326351889805791,0.0101119443,0.022523244680579098
MALL PLAZA,0.020953747087988344,0,0.020953747087988344
GRUPO SPORTS,0.01888587470701657,0,0.01888587470701657
CCU,0.02554497142474482,0.0071827963,0.01836217512474482
ENTEL,0.022998404005254908,0.0058298268,0.017168577205254908
INTERCORP,0.03051023685912484,0.0143315203,0.01617871655912484
DLOCAL,0.015087915548018431,0,0.015087915548018431
PAMPA ENERGIA,0.014628727303477152,0,0.014628727303477152
FERREYROS,0.01427752327204526,0,0.01427752327204526
C&A MODAS,0.018425967002170703,0.0043397857,0.014086181302170701
COGNA EDUCACAO,0.024428621770890873,0.0110143068,0.013414314970890873
BRAVA ENERGIA,0.02390319230135107,0.0120391036,0.01186408870135107
CURY CONSTRUTORA E INCORPORADORA,0.021321253898385295,0.0094866838,0.011834570098385296
M DIAS BRANCO,0.014200770078077983,0.00268929,0.011511480078077983
FLEURY,0.018332010282294996,0.0068542418,0.011477768482294995
VULCABRAS AZALEIA,0.012685883708380759,0.002371672,0.010314211708380759
DIRECIONAL ENGENHARIA,0.018562782150459967,0.008267206,0.010295576150459968
ANDINO INVEST HOLDING,0.010152830934718395,0,0.010152830934718395
GRUPO SBF,0.010110486812683095,0,0.010110486812683095
FARM PAGUE MENOS,0.00970695813019549,0,0.00970695813019549
ULTRAPAR,0.008023949015735212,0,0.008023949015735212
CAMANCHACA,0.007580760869557686,0,0.007580760869557686
OPERADORA SITES MEXICANOS,0.007267667958297316,0,0.007267667958297316
LOMA NEGRA,0.006943510202452372,0,0.006943510202452372
VIVARA,0.012715472710512201,0.0058741875,0.006841285210512201
GENTERA,0.03451020758032264,0.027799482,0.006710725580322638
BANCO SANTANDER BRASIL,0.00669884847075737,0,0.00669884847075737
GRUPO CEMENTOS CHIHUAHUA,0.022309784650520623,0.0165074248,0.005802359850520623
AGI INC,0.005753367347202886,0,0.005753367347202886
ORIZON VALORIZACAO DE RESIDUOS,0.011172021537114255,0.0055750064,0.005597015137114255
SALFACORP,0.005324844826220162,0,0.005324844826220162
BRADESPAR,0.015234283746495964,0.0101974631,0.0050368206464959635
GBM,0.0038359645598049826,0,0.0038359645598049826
CONSTELLATION,0.0036013151552407815,0,0.0036013151552407815
VESTA,0.029785822259303082,0.0267804245,0.003005397759303082
ECORODOVIAS,0.007801098879876757,0.005667605,0.0021334938798767567
GRUPO TRAXION,0.001978638877593414,0,0.001978638877593414
COPA HOLDINGS,0.0017722806259329092,0,0.0017722806259329092
PAGSEGURO DIGITAL,0.016385683971101725,0.0149362056,0.0014494783711017246
MEGACABLE,0.0161610537022049,0.0149958609,0.0011651928022049004
ORBIA,0.009729328961269825,0.0087506216,0.0009787073612698254
SMARTFIT,0.014045397702206978,0.0131688762,0.0008765215022069773
INVERSIONES LA CONSTRUCCION,0.008309332342826041,0.0076296112,0.0006797211428260412
ITAUCORP,0.015701404946206185,0.0156293257,7.207924620618658e-05
CAP,0.004769797399563729,0.0047427218,2.7075599563729062e-05
PROCAPS,5.005022574383646e-06,0,5.005022574383646e-06
EMBOTELLADORA ANDINA,0.015374182600711125,0.0161517922,-0.0007776095992888758
COSAN,0.011759304167238692,0.0126233554,-0.0008640512327613079
LOJAS RENNER,0.025720900268921203,0.0274256513,-0.0017047510310787967
TRES TENTOS AGROINDUSTRIAL,0.0016188279206905824,0.0033359787,-0.0017171507793094177
AFYA,0,0.0019705587,-0.0019705587
VTEX,0,0.0022027206,-0.0022027206
FERBASA,0,0.0022089417,-0.0022089417
VINCI PARTNERS INVESTMENTS,0,0.0024084951,-0.0024084951
INTELBRAS,0,0.0024833938,-0.0024833938
GRENDENE,0,0.0025928464,-0.0025928464
ENGIE ENERGIA CHILE,0.00441304860069085,0.0070695658,-0.0026565171993091505
FRAS-LE,0,0.0026873402,-0.0026873402
PETRORECONCAVO,0,0.0030669996,-0.0030669996
SAO PAULO ALPARGATAS,0,0.0032044857,-0.0032044857
MAHLE-METAL LEVE,0,0.0033771996,-0.0033771996
MINERVA,0,0.0035171764,-0.0035171764
VAMOS,0,0.0035600395,-0.0035600395
MINEROS,0,0.0036509434,-0.0036509434
ALUMINIO CBA,0,0.0036741205,-0.0036741205
DEXCO,0,0.0038647726,-0.0038647726
BRASKEM,0,0.0038960362,-0.0038960362
IGUATEMI,0.006413094228061302,0.0103244895,-0.003911395271938699
BANCO ABC BRASIL,0,0.0039246213,-0.0039246213
HIDROVIAS DO BRASIL,0,0.0041853773,-0.0041853773
SIMPAR,0,0.0042404532,-0.0042404532
REGIONAL,0.01473330788426061,0.0190196586,-0.004286350715739389
DANHOS,0,0.0043069918,-0.0043069918
INTER & CO,0.013565727060252733,0.0180487873,-0.004483060239747268
RIPLEY,0,0.0045091417,-0.0045091417
BANCO DEL BAJIO,0.01617493507376899,0.0208293756,-0.004654440526231009
INVERSIONES AGUAS METROPOLITANAS,0,0.0046935407,-0.0046935407
SMU,0,0.0047850704,-0.0047850704
JHSF,0,0.0047860971,-0.0047860971
SAO MARTINHO,0,0.0048293182,-0.0048293182
CONCHA Y TORO,0,0.0050316862,-0.0050316862
HAPVIDA,0,0.0051233136,-0.0051233136
LACOMER,0,0.0052020511,-0.0052020511
GRUPO MATEUS,0,0.0053438125,-0.0053438125
MRV ENGENHARIA,0,0.0054727202,-0.0054727202
USIMINAS,0,0.0056887469,-0.0056887469
IRB BRASIL RESSEGUROS,0,0.0057049565,-0.0057049565
CSN,0,0.0061737943,-0.0061737943
BANCO EST. RIO GRANDE DO SUL,0,0.0061983069,-0.0061983069
ALSEA,0.009616988257399702,0.0159024445,-0.006285456242600299
UNIPAR PARTICIPACOES,0,0.006447542,-0.006447542
SIGMA LITHIUM,0,0.0064849639,-0.0064849639
SLC AGRICOLA,0,0.0064950303,-0.0064950303
ODONTOPREV,0,0.0065157874,-0.0065157874
MAGAZINE LUIZA,0,0.0065541616,-0.0065541616
VOLARIS,0,0.0066659141,-0.0066659141
AZZAS 2154,0,0.0066808195,-0.0066808195
GENOMMA LAB,0,0.0067003261,-0.0067003261
PATRIA INVESTMENTS,0,0.0071435937,-0.0071435937
AUREN ENERGIA,0,0.0077532095,-0.0077532095
BOLSA MEXICANA,0,0.0083203482,-0.0083203482
VAPORES,0,0.0084224884,-0.0084224884
ALPEK,0,0.0085555812,-0.0085555812
AGUAS ANDINAS,0,0.009690854,-0.009690854
ALUPAR,0,0.010278487,-0.010278487
COLBUN,0,0.0108348562,-0.0108348562
GERDAU,0,0.0121422833,-0.0121422833
HYPERMARCAS,0,0.0122747814,-0.0122747814
TELEVISA,0,0.0125121602,-0.0125121602
GRUPO ARGOS,0,0.0132983841,-0.0132983841
GPS,0,0.0137147381,-0.0137147381
NATURA,0,0.0139946979,-0.0139946979
TRANSMISSORA ALIANCA DE ENERGIA ELETRICA,0,0.0143352988,-0.0143352988
FIBRA MTY,0,0.0149206355,-0.0149206355
ALLOS SA,0.0020432390956388697,0.0184612325,-0.01641799340436113
CIA DE SANEAMENTO DO PARANA,0,0.0164646663,-0.0164646663
MACQUARIE MEXICO,0,0.0168485593,-0.0168485593
QUALITAS CONTROLADORA,0,0.0175342609,-0.0175342609
CIA SANEAMENTO MINAS GERAIS,0,0.0179060432,-0.0179060432
CEMENTOS ARGOS,0,0.018812117,-0.018812117
SENDAS DISTRIBUIDORA,0,0.0188992209,-0.0188992209
AURA MINERALS,0,0.0240871469,-0.0240871469
PARQUE ARAUCO,0,0.0272057834,-0.0272057834
