COMPANIES (MRV),% PORTFOLIO,% IPSA,OVERWEIGHT/UNDERWEIGHT
QUINENCO,0.08352496728302403,0.0180931334,0.06543183388302402
ENTEL,0.07335518215476715,0.0081989938,0.06515618835476715
BCI,0.13315642611732917,0.0685298746,0.06462655151732917
MERCADOLIBRE,0.04973262754974551,0,0.04973262754974551
ANTARCHILE,0.04752529160809986,0,0.04752529160809986
NORTEGRANDE,0.03523415219826103,0,0.03523415219826103
ENEL GENERACION CHILE,0.027266256373882622,0,0.027266256373882622
COLBUN,0.04076254617554045,0.0144899088,0.026272637375540447
CMPC,0.04334833008980084,0.0214427313,0.021905598789800838
FORUS,0.020097460237416823,0,0.020097460237416823
CCU,0.02846943602764581,0.0111389971,0.01733043892764581
EMBOTELLADORA ANDINA,0.035295432523693535,0.0235917288,0.011703703723693535
SOQUIMICH,0.13941521133976664,0.1302467446,0.00916846673976665
SMU,0,0.0056108499,-0.0056108499
CONCHA Y TORO,0,0.0064320874,-0.0064320874
RIPLEY,0,0.0065498998,-0.0065498998
CAP,0,0.0067917822,-0.0067917822
INVERSIONES AGUAS METROPOLITANAS,0,0.0076155155,-0.0076155155
SALFACORP,0,0.007866082,-0.007866082
ENGIE ENERGIA CHILE,0,0.0088872382,-0.0088872382
INVERSIONES LA CONSTRUCCION,0,0.0095922141,-0.0095922141
VAPORES,0,0.0096492911,-0.0096492911
AGUAS ANDINAS,0,0.0145039409,-0.0145039409
MALL PLAZA,0.02832091170523704,0.0435427463,-0.015221834594762958
CENCOSUD SHOPPING,0,0.0175443804,-0.0175443804
ENEL AMERICAS,0,0.0207786496,-0.0207786496
ITAUCORP,0,0.0235755183,-0.0235755183
ENEL CHILE,0,0.0251833557,-0.0251833557
LATAM AIRLINES,0.06404621823494212,0.091408453,-0.027362234765057877
FALABELLA,0.042447663960275085,0.0732395039,-0.030791839939724917
PARQUE ARAUCO,0,0.0372708439,-0.0372708439
COPEC,0,0.038386033,-0.038386033
CENCOSUD,0.00741057626508224,0.0518141835,-0.04440360723491776
BANCO CHILE,0.08023060559383059,0.1277606376,-0.04753003200616941
BANCO SANTANDER,0.0203607045616595,0.0702646813,-0.0499039767383405
