COMPANIES (ORANGE),% PORTFOLIO,% FTSE Orange,OVERWEIGHT/UNDERWEIGHT
QUINENCO,0.082605287,0.020312582,0.062292705
BCI,0.137295328,0.077635387,0.059659941
ENTEL,0.054133066,0,0.054133066
MERCADOLIBRE,0.048444142,0,0.048444142
ANTARCHILE,0.048119959,0,0.048119959
NORTEGRANDE,0.04063552,0,0.04063552
ENEL GENERACION CHILE,0.028079632,0,0.028079632
COLBUN,0.038900377,0.015823238,0.023077139
FORUS,0.019683118,0,0.019683118
CMPC,0.041981228,0.023223578,0.01875765
CCU,0.02607613,0.011158369,0.014917761
ALMENDRAL,0.012841938,0,0.012841938
EMBOTELLADORA ANDINA,0.032783918,0.027942119,0.004841799
SOQUIMICH,0.157913703,0.161746224,-0.003832521
VAPORES,0,0.011141805,-0.011141805
AGUAS ANDINAS,0,0.015295851,-0.015295851
CENCOSUD SHOPPING,0,0.019048037,-0.019048037
ITAUCORP,0,0.019468988,-0.019468988
MALL PLAZA,0.026285805,0.050127846,-0.02384204
ENEL AMERICAS,0,0.024900269,-0.024900269
ENEL CHILE,0,0.030120394,-0.030120394
FALABELLA,0.04527038,0.083464267,-0.038193888
COPEC,0,0.042212177,-0.042212177
LATAM AIRLINES,0.063324582,0.109655327,-0.046330745
BANCO SANTANDER,0.019677499,0.072274722,-0.052597224
BANCO CHILE,0.075948387,0.129375615,-0.053427228
CENCOSUD,0,0.055073204,-0.055073204
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
