COMPANIES (ORANGE),% PORTFOLIO,% FTSE Orange,OVERWEIGHT/UNDERWEIGHT
ENTEL,0.0636386553190041,0,0.0636386553190041
QUINENCO,0.08160347737571017,0.019631885153548,0.06197159222216217
BCI,0.13551187079914956,0.076228150810702,0.05928371998844756
ANTARCHILE,0.04798945593770091,0,0.04798945593770091
NORTEGRANDE,0.0391474751944467,0,0.0391474751944467
MERCADOLIBRE,0.034312553600475824,0,0.034312553600475824
ENEL GENERACION CHILE,0.026012155801334685,0,0.026012155801334685
COLBUN,0.041329299489980785,0.0162378897864054,0.025091409703575384
FORUS,0.020037248033686006,0,0.020037248033686006
CCU,0.02896205187951099,0.0124408023749626,0.01652124950454839
CMPC,0.03663637546684728,0.0222221691947139,0.01441420627213338
ALMENDRAL,0.013939976618929466,0,0.013939976618929466
EMBOTELLADORA ANDINA,0.03318496728970266,0.0283923509837545,0.004792616305948159
MALL PLAZA,0.04129625231113054,0.0454879623065394,-0.004191709995408861
SOQUIMICH,0.1506112538164632,0.157711412243335,-0.007100158426871783
VAPORES,0,0.00969945067147416,-0.00969945067147416
AGUAS ANDINAS,0,0.0151738203020792,-0.0151738203020792
CENCOSUD SHOPPING,0,0.020187777477055,-0.020187777477055
ITAUCORP,0,0.0210714468428928,-0.0210714468428928
ENEL AMERICAS,0,0.0247061753958138,-0.0247061753958138
ENEL CHILE,0,0.028630824206388,-0.028630824206388
CENCOSUD,0.02779159397314521,0.0588960794384972,-0.03110448546535199
COPEC,0,0.0466330590341003,-0.0466330590341003
FALABELLA,0.032234432565151794,0.0822207393625182,-0.0499863067973664
BANCO CHILE,0.07434412971204843,0.126420139727028,-0.05207601001497958
BANCO SANTANDER,0.017296978875088655,0.0725342774065792,-0.055237298531490536
LATAM AIRLINES,0.05411979594049291,0.115473587281613,-0.06135379134112009
