COMPANIES (PIONERO),% PORTFOLIO,% IGPA Small Cap,OVERWEIGHT/UNDERWEIGHT
PUCOBRE,0.192942844,0,0.192942844
ENAEX,0.121300012,0,0.121300012
NORTEGRANDE,0.084293,0,0.084293
SIGDO KOPPERS,0.05629642,0,0.05629642
BLUMAR,0.055888533,0,0.055888533
EMBOTELLADORA ANDINA,0.047281039,0,0.047281039
BICECORP,0.040642367,0,0.040642367
WATTS,0.040098158,0,0.040098158
ALMENDRAL,0.040169782,0.014826969,0.025342813
ECHEVERRIA IZQUIERDO,0.024976347,0,0.024976347
MULTIEXPORT FOODS,0.014198114,0,0.014198114
QUINENCO,0.014066071,0,0.014066071
ORO BLANCO,0.01055131,0,0.01055131
ENTEL,0.009643679,0,0.009643679
TRICOT,0.00951308,0,0.00951308
FORUS,0.036318033,0.026822431,0.009495602
CRISTALERIAS CHILE,0.008826404,0,0.008826404
CAMANCHACA,0.008627085,0,0.008627085
FEPASA,0.005747412,0,0.005747412
EDELPA,0.003134674,0,0.003134674
SOCOVESA,0.002543118,0,0.002543118
LA POLAR,0,0.004686731,-0.004686731
SAAM,0.074797639,0.08140616,-0.006608521
AAISA,0,0.01088838,-0.01088838
CLINICA LAS CONDES,0,0.013947988,-0.013947988
INVERCAP,0,0.014448251,-0.014448251
NATURGY,0,0.015275533,-0.015275533
INGEVEC,0,0.016552068,-0.016552068
SONDA,0,0.016902153,-0.016902153
EMBONOR,0.029149834,0.04811915,-0.018969315
INDISA,0,0.029095479,-0.029095479
BANVIDA,0,0.032319475,-0.032319475
NUAM,0,0.046231881,-0.046231881
BESALCO,0,0.051966148,-0.051966148
INVERSIONES LA CONSTRUCCION,0.046677938,0.099295898,-0.05261796
SALFACORP,0.022317107,0.075454614,-0.053137507
SMU,0,0.053331624,-0.053331624
CONCHA Y TORO,0,0.058043827,-0.058043827
CAP,0,0.064711216,-0.064711216
RIPLEY,0,0.065210578,-0.065210578
INVERSIONES AGUAS METROPOLITANAS,0,0.072772978,-0.072772978
ENGIE ENERGIA CHILE,0,0.087690467,-0.087690467
