COMPANIES (PIONERO),% PORTFOLIO,% IGPA Small Cap,OVERWEIGHT/UNDERWEIGHT
PUCOBRE,0.20035558751143137,0,0.20035558751143137
ENAEX,0.12180642751173874,0,0.12180642751173874
NORTEGRANDE,0.07961082389559143,0,0.07961082389559143
SIGDO KOPPERS,0.05713990551518009,0,0.05713990551518009
BLUMAR,0.05569810794364604,0,0.05569810794364604
EMBOTELLADORA ANDINA,0.04870571315666264,0,0.04870571315666264
BICECORP,0.042598874800203516,0,0.042598874800203516
WATTS,0.039273880157840564,0,0.039273880157840564
ALMENDRAL,0.0428813066318176,0.0156920194,0.0271892872318176
ECHEVERRIA IZQUIERDO,0.025472027046370763,0,0.025472027046370763
MULTIEXPORT FOODS,0.01444608835807836,0,0.01444608835807836
QUINENCO,0.01428206022374861,0,0.01428206022374861
FORUS,0.03789737135984858,0.0275638884,0.01033348295984858
ORO BLANCO,0.010015805419062159,0,0.010015805419062159
ENTEL,0.009898713876252836,0,0.009898713876252836
TRICOT,0.00906990340962055,0,0.00906990340962055
CRISTALERIAS CHILE,0.008890244510909423,0,0.008890244510909423
CAMANCHACA,0.00788471473490782,0,0.00788471473490782
FEPASA,0.005674735918027691,0,0.005674735918027691
SOCOVESA,0.0032640078544452513,0,0.0032640078544452513
EDELPA,0.0030950358539638964,0,0.0030950358539638964
SAAM,0.06525897588750407,0.0703054976,-0.0050465217124959355
LA POLAR,0,0.0053260221,-0.0053260221
AAISA,0,0.010870535,-0.010870535
CLINICA LAS CONDES,0,0.0137659397,-0.0137659397
INGEVEC,0,0.0153221693,-0.0153221693
NATURGY,0,0.0153735352,-0.0153735352
INVERCAP,0,0.0154849391,-0.0154849391
SONDA,0,0.0163911735,-0.0163911735
EMBONOR,0.02913906851086982,0.0486025573,-0.019463488789130182
INDISA,0,0.0287999288,-0.0287999288
BANVIDA,0,0.0319314534,-0.0319314534
NUAM,0,0.0440981993,-0.0440981993
INVERSIONES LA CONSTRUCCION,0.04498973047114078,0.0941631716,-0.04917344112885922
BESALCO,0,0.0532295517,-0.0532295517
SALFACORP,0.022650889441137394,0.0770972779,-0.0544463884588626
SMU,0,0.0556299558,-0.0556299558
CONCHA Y TORO,0,0.0610273891,-0.0610273891
CAP,0,0.0665733289,-0.0665733289
RIPLEY,0,0.0688552657,-0.0688552657
INVERSIONES AGUAS METROPOLITANAS,0,0.0741680818,-0.0741680818
ENGIE ENERGIA CHILE,0,0.0897281194,-0.0897281194
