page_num,report_date,currency,group,FUND,Date,Manager,Incep,NAV,AUM_USD_mm,MTD,YTD,1_year,3_years,5_years,10_years,CUMULATIVE S. INCEP. PIONERO,ANNUALIZED S. INCEP. PIONERO,sigma,Sharpe,Alpha,Beta,Mgmt_Fee,ANNUALIZED S. INCEP. ORANGE,CUMULATIVE S. INCEP. MRV A,ANNUALIZED S. INCEP. MRV A,CUMULATIVE S. INCEP. MSC,ANNUALIZED S. INCEP. MSC,ANNUALIZED S. INCEP. MLE LX,ANNUALIZED S. INCEP. MDELA,ANNUALIZED S. INCEP. GLORY
1,31/Dec/2025,CLP,Moneda,Pionero A,,Moneda,,"14,582.8",517.6,12.0%,68.6%,68.6%,31.5%,23.9%,14.3%,"7,989.1%",14.8%,12.0%,1.73,18.2%,0.49,0.85%,,,,,,,,
1,31/Dec/2025,CLP,Moneda,Pionero AE,,Moneda,,"14,735.9",1.5,12.0%,68.9%,68.9%,31.7%,24.1%,,,,12.0%,1.75,18.4%,0.49,0.85%,,,,,,,,
1,31/Dec/2025,CLP,Moneda,Pionero I,,Moneda,,"14,591.5",192.4,12.0%,,,,,,,,,,,,0.75%,,,,,,,,
1,31/Dec/2025,CLP,Moneda,Pionero R,,Moneda,,"14,078.9",43.3,10.8%,64.2%,64.2%,,,,,,,,,,1.80%,,,,,,,,
1,31/Dec/2025,CLP,Peer Group,Compass SC Chile - I,,Compass,,"141,878.0",349.5,5.6%,67.7%,67.7%,28.6%,18.3%,11.8%,,,13.5%,1.39,13.7%,0.57,0.50%,,,,,,,,
1,31/Dec/2025,CLP,Peer Group,LarrainVial SC Chile,,LarrainVial,,"15,632.3",91.5,6.4%,90.4%,90.4%,34.2%,19.6%,,,,14.4%,1.61,18.6%,0.58,0.50%,,,,,,,,
1,31/Dec/2025,CLP,Peer Group,Toesca SC Chile,,Toesca,,"16,285.2",75.0,5.9%,65.5%,65.5%,28.8%,15.6%,,,,13.4%,1.41,16.8%,0.46,0.50%,,,,,,,,
1,31/Dec/2025,CLP,Peer Group,Siglo XXI,BICE,,,"64,289.9",62.7,4.7%,63.3%,63.3%,27.6%,16.9%,10.8%,,,13.4%,1.34,13.5%,0.54,0.50%,,,,,,,,
1,31/Dec/2025,CLP,Peer Group,Falcom Small Cap Chile,,Falcom,,"1,410.3",7.7,2.0%,71.6%,71.6%,30.5%,19.3%,,,,14.4%,1.42,16.0%,0.55,,,,,,,,,
1,31/Dec/2025,CLP,Peer Group,Chile FI SC,,BanChile,,"130,773.5",7.0,4.4%,71.8%,71.8%,25.4%,19.7%,11.0%,,,13.1%,1.23,11.1%,0.56,0.50%,,,,,,,,
