page_num,report_date,currency,group,FUND,Date,Manager,Incep,NAV,AUM_USD_mm,MTD,YTD,1_year,3_years,5_years,10_years,sigma,Sharpe,Alpha,Beta,Mgmt_Fee
1,28/Feb/2026,CLP,Peer Group,"Compass SC Chile - I Compass 148,324.0",386.1 -4.3%,4.5% 53.2%,26.6% 16.7%,11.8%,,14.5% 1.22,8.4%,0.66,0.50%,,,,,,,
1,28/Feb/2026,CLP,Peer Group,"LarrainVial SC Chile LarrainVial 16,491.9",108.9 -5.3%,5.5% 74.1%,32.5% 18.5%,,,15.8% 1.42,12.4%,0.70,0.50%,,,,,,,
1,28/Feb/2026,CLP,Peer Group,"Toesca SC Chile Toesca 17,277.5",91.6 -3.9%,6.1% 55.9%,26.9% 14.5%,,,14.4% 1.24,10.7%,0.58,0.50%,,,,,,,
1,28/Feb/2026,CLP,Peer Group,"Siglo XXI BICE 68,568.8",69.3 -4.2%,6.7% 52.8%,26.4% 15.5%,11.0%,,14.7% 1.19,8.0%,0.66,0.50%,,,,,,,
1,28/Feb/2026,CLP,Indices,MSCI Chile SC Net 1.2,-4.4%,5.5% 37.2%,27.4% 18.1%,10.2% 1422.1% 8.9%,,14.4% 1.29,,,,,,,,,,
1,28/Feb/2026,CLP,Indices,"IGPA Small Cap 97,758.9",-5.3%,2.2% 39.1%,26.2% 21.2%,14.9%,,13.5% 1.28,,,,,,,,,,
1,28/Feb/2026,CLP,Indices,"IGPA Mid Cap 56,559.1",-3.1%,8.5% 50.4%,32.8% 24.0%,12.1%,,14.3% 1.58,,,,,,,,,,
1,28/Feb/2026,CLP,Indices,"IGPA SC & MC 2,274.9",-3.9%,6.3% 46.2%,30.5% 23.2%,13.3%,,13.3% 1.55,,,,,,,,,,
1,28/Feb/2026,CLP,Indices,"Moneda 500 6,606.3",-2.3%,7.3% 51.6%,30.7% 20.4%,11.4% 2107.2% 10.2%,,12.6% 1.65,,,,,,,,,,
1,28/Feb/2026,CLP,Indices,"IPSA 10,877.7",-4.7%,3.8% 48.4%,26.3% 18.9%,11.4% 1299.0% 8.6%,,15.3% 1.15,,,,,,,,,,
1,28/Feb/2026,CLP,Indices,MSCI EM Latam SC Net 1.3,3.1%,11.7% 44.9%,18.5% 13.3%,11.9%,,20.1% 0.60,,,,,,,,,,
1,28/Feb/2026,CLP,Indices,"UF 39,790.6",0.2%,0.2% 3.0%,3.9% 6.3%,4.5% 269.7% 4.2%,,,,,,,,,,,,
1,28/Feb/2026,CLP,Indices,U.S. Dollar (Obs) USD/CLP 871.4,-0.7%,4.1% 9.5%,-1.6% -3.7%,-2.3% -50.6% -2.2%,,,,,,,,,,,,
1,28/Feb/2026,CLP,Indices,"Moneda Past performance 500: Moneda's is not in-house a guide index. to future Composed results. by Q2, Q3 and Q4 (Market Cap Quartiles) Chilean",stock market listed,companies.,,,,,,,,,,,,,,
2,28/Feb/2026,CLP,Moneda,"MRV R Moneda 30,818.3",3.1 -6.4%,0.4% 44.1%,,,,,,,1.30%,,,,,,,
2,28/Feb/2026,CLP,Moneda,"Orange Moneda 26,003.8",589.8 -5.9%,0.7% 43.4%,22.8% 18.4%,12.1%,7.6%,14.7% 1.00,-1.3%,0.93,,,,,,,,
2,28/Feb/2026,CLP,Peer Group,"MBI Arbitrage MBI 57,412.3",74.1 -5.8%,-1.7% 25.2%,19.3% 14.4%,8.4%,,14.3% 0.82,-3.2%,0.89,0.85%,,,,,,,
2,28/Feb/2026,CLP,Peer Group (Mutual Funds),"FM BTG Chile Acción BTG Pactual 1,890.3",306.2 -5.2%,2.8% 51.1%,31.1% 23.0%,,,15.6% 1.38,3.8%,1.00,1.00%,,,,,,,
2,28/Feb/2026,CLP,Peer Group (Mutual Funds),"FM ETF Itau Now IPSA Itau 5,174.9",239.7 -4.8%,3.7% 48.0%,25.8% 18.4%,11.1%,,15.3% 1.13,-0.4%,1.00,0.47%,,,,,,,
2,28/Feb/2026,CLP,Peer Group (Mutual Funds),"FM Security Index Fund Chile 20-Jan Security 1,421.2",170.0 0.0%,6.5% 46.8%,22.6% 13.2%,8.2%,4.6%,14.3% 1.01,-1.0%,0.91,0.63%,,,,,,,
2,28/Feb/2026,CLP,Peer Group (Mutual Funds),"FM Principal Capitales Acc Chilenas Principal 1,872.9",153.2 -5.8%,3.6% 46.5%,27.5% 23.3%,,,14.3% 1.29,3.4%,0.90,1.09%,,,,,,,
2,28/Feb/2026,CLP,Peer Group (Mutual Funds),"FM Toesca Chile Equities Toesca 2,145.6",141.6 -4.9%,3.9% 54.0%,27.3% 25.9%,,,14.8% 1.24,2.2%,0.94,1.10%,,,,,,,
2,28/Feb/2026,CLP,Peer Group (Mutual Funds),"FM Compass Acciones Chilenas Compass 2,359.9",127.5 -6.7%,3.8% 49.3%,28.4% 24.1%,,,15.0% 1.28,3.2%,0.94,0.80%,,,,,,,
2,28/Feb/2026,CLP,Peer Group (Mutual Funds),"FM Santander Acciones Chilenas III Santander 1,761.3",105.4 -4.9%,3.8% 49.5%,26.9% 19.4%,,,15.3% 1.18,0.5%,1.00,1.29%,,,,,,,
2,28/Feb/2026,CLP,Peer Group (Mutual Funds),"FM Credicorp Acciones Estratégicas Credicorp 2,262.8",42.9 -4.9%,3.9% 52.4%,29.8% 22.1%,11.7%,,14.8% 1.37,3.9%,0.95,1.05%,,,,,,,
2,28/Feb/2026,CLP,Peer Group (Hedge Funds Chile),"FM LarrainVial Enfoque LarrainVial 2,338.7",567.5 -5.6%,8.0% 70.6%,39.4% 27.3%,14.1% 209.1% 7.9%,9.6%,16.2% 1.72,11.1%,0.98,0.84%,,,,,,,
2,28/Feb/2026,CLP,Peer Group (Hedge Funds Chile),"Falcom Tactical Chilean Equities 26-Feb Falcom 3,994.0",493.2 -4.6%,5.1% 59.2%,33.2% 27.4%,19.0%,,16.4% 1.42,4.8%,1.03,1.50%,,,,,,,
2,28/Feb/2026,CLP,Peer Group (Hedge Funds Chile),"Arrayan Acciones Chilenas Arrayan 57,333.8",128.8 -4.9%,4.0% 29.7%,21.2% 22.8%,,,11.8% 1.10,1.9%,0.73,0.80%,,,,,,,
2,28/Feb/2026,CLP,Peer Group (Hedge Funds Chile),"Quest Acciones Chile Quest 96,427.3",81.2 -6.5%,2.1% 45.1%,26.3% 22.3%,15.9%,,15.7% 1.13,1.1%,0.96,1.26%,,,,,,,
2,28/Feb/2026,CLP,Indices,"IPSA 10,877.7",-4.7%,3.8% 48.4%,26.3% 18.9%,11.4% 125.8% 5.7%,144.4%,15.3% 1.15,,,,,,,,,,
2,28/Feb/2026,CLP,Indices,"MSCI TR Net Chile USD 441,090.3",-5.7%,1.9% 46.6%,19.9% 14.0%,8.1% 62.0% 3.3%,4.4%,17.6% 0.72,,,,,,,,,,
2,28/Feb/2026,CLP,Indices,MSCI Chile LC USD Net 1.2,-4.4%,3.1% 66.4%,15.4% 13.2%,8.3% 56.3% 3.1%,4.3%,23.5% 0.42,,,,,,,,,,
2,28/Feb/2026,CLP,Indices,"FTSE Chile All Cap TR 2,105.3",-4.8%,3.7% 47.6%,24.5% 17.6%,10.5%,,15.7% 1.03,,,,,,,,,,
2,28/Feb/2026,CLP,Indices,"FTSE Chile All Cap TR Gross Orange 2,404.0",-5.2%,2.8% 46.5%,24.0% 17.4%,10.4%,6.5%,15.8% 1.00,,,,,,,,,,
2,28/Feb/2026,CLP,Indices,"Dow Jones Sustainability Chile 1,730.6",-5.1%,3.1% 44.7%,19.9% 12.0%,6.1%,,15.6% 0.79,,,,,,,,,,
2,28/Feb/2026,CLP,Indices,U.S. Dollar (Obs) USD/CLP 871.4,-0.7%,4.1% 9.5%,-1.6% -3.7%,-2.3% -46.2% -4.1%,-4.5%,,,,,,,,,,,
3,28/Feb/2026,USD,Moneda,151.9,61.8 4.1%,18.6% 62.1%,16.8% 7.7%,7.1%,,22.8% 0.58,0.0%,1.01,,,,,,,,
3,28/Feb/2026,USD,Moneda,Zurich AM SICAV SC Latam I Zurich,,,,,,,,,,,,,,,,
3,28/Feb/2026,USD,Peer Group (Latam Specific Country),"MSCI Brasil SC Net 1,779.6",4.7%,19.6% 63.6%,15.5% 5.4%,13.6% 53.6% 2.4%,,27.2% 0.49,-3.0%,1.18,,,,,,,,
3,28/Feb/2026,USD,Peer Group (Latam Specific Country),"MSCI Chile SC Net 1,332.9",-5.1%,9.8% 50.3%,25.4% 13.7%,7.6% 40.6% 1.9%,,20.7% 0.97,13.8%,0.67,,,,,,,,
3,28/Feb/2026,USD,Peer Group (Latam Specific Country),"MSCI Colombia SC Net 1,948.0",-13.8%,7.0% 56.6%,,,,,,,,,,,,,,
3,28/Feb/2026,USD,Peer Group (Latam Specific Country),"1,571.9",7.4%,15.5% 53.0%,13.7% 18.2%,9.4% 55.8% 2.5%,,22.3% 0.47,2.1%,0.74,,,,,,,,
3,28/Feb/2026,USD,Peer Group (Latam Specific Country),MSCI Mexico SC Net,,,,,,,,,,,,,,,,
3,28/Feb/2026,USD,Indices,"MSCI EM Latam SC Net 1,471.4",2.4%,16.3% 58.7%,16.6% 9.0%,9.3% 39.5% 1.9%,,22.4% 0.59,,,,,,,,,,
4,28/Feb/2026,USD,Moneda,36.5,"4,392.3 3.2%",19.8% 67.8%,21.0% 12.3%,9.4% 7.4% 5.05%,-0.5%,20.4% 0.80,0.5%,0.98,0.49%,,,,,,,
4,28/Feb/2026,USD,Moneda,iShares Latam 40 ETF BlackRock,,,,,,,,,,,,,,,,
4,28/Feb/2026,USD,Moneda,DWS Invest Latam Equities Deutsche 303.7,"2,783.1 2.5%",18.1% 69.5%,21.3% 14.7%,,,20.6% 0.81,1.0%,0.97,0.30%,,,,,,,
4,28/Feb/2026,USD,Moneda,LV Latin American Equity LarrainVial 161.2,"2,350.0 3.8%",18.8% 66.8%,22.1% 13.1%,,,19.6% 0.88,2.1%,0.94,1.00%,,,,,,,
4,28/Feb/2026,USD,Moneda,BlackRock Global Funds Latam BlackRock 91.4,855.4 3.2%,19.4% 61.1%,15.8% 9.1%,7.7% 6.2% 4.30%,-0.7%,23.4% 0.54,-5.3%,1.08,,,,,,,,
4,28/Feb/2026,USD,Moneda,Templeton Latin America Fund Templeton 33.8,684.9 6.5%,21.5% 71.1%,20.4% 12.7%,10.2% 8.8% 6.68%,0.8%,20.6% 0.77,0.0%,0.98,,,,,,,,
4,28/Feb/2026,USD,Moneda,Schroder Latam Equities Schroder 76.7,611.0 1.3%,17.7% 59.2%,16.7% 11.9%,10.5% 9.2% 7.13%,1.4%,20.3% 0.63,-2.5%,0.94,,,,,,,,
4,28/Feb/2026,USD,Moneda,JPMorgan Latam (LX) JPMorgan 33.5,588.7 1.4%,17.9% 64.9%,21.2% 12.8%,10.8% 9.6% 7.47%,2.6%,20.1% 0.82,1.3%,0.95,0.85%,,,,,,,
4,28/Feb/2026,USD,Moneda,Fidelity Latam I (LX) Fidelity 11.4,465.0 4.5%,21.3% 72.3%,20.8% 10.6%,9.6% 8.2% 6.42%,,21.3% 0.77,-0.1%,1.01,,,,,,,,
4,28/Feb/2026,USD,Moneda,"Amundi Latam Equity (LX) Amundi 9,270.2",404.1 5.6%,22.7% 73.3%,25.0% 16.4%,11.6% 9.9% 7.48%,1.3%,20.6% 0.95,3.7%,0.99,0.90%,,,,,,,
4,28/Feb/2026,USD,Moneda,BCI SICAV Latam Equity Fund BCI 138.8,329.9 1.7%,16.2% 66.2%,18.9% 13.8%,,,20.5% 0.72,-1.5%,0.99,1.00%,,,,,,,
4,28/Feb/2026,USD,Moneda,Handelsbanken Latinamerika Handelsbanken 19.2,264.8 2.0%,15.5% 63.0%,21.1% 12.1%,,,19.9% 0.82,2.1%,0.90,,,,,,,,
4,28/Feb/2026,USD,Moneda,Threadneedle Latam (GB) Threadneedle 492.0,225.7 1.8%,18.3% 60.6%,17.6% 7.4%,8.3% 6.9% 4.64%,0.1%,18.5% 0.71,-0.1%,0.85,1.00%,,,,,,,
4,28/Feb/2026,USD,Moneda,"Santander SC Latam (LX) Santander 1,489.4",111.5 3.2%,18.1% 66.9%,16.9% 10.8%,7.9% 6.5% 4.52%,0.8%,20.6% 0.63,-3.2%,0.99,0.70%,,,,,,,
4,28/Feb/2026,USD,Moneda,All BTG Pactual Latam Equity BTG Pactual 148.6,78.5 2.7%,14.7% 66.5%,16.1% 9.7%,7.6% 6.5% 5.14%,,19.9% 0.61,-2.9%,0.94,0.90%,,,,,,,
4,28/Feb/2026,USD,Moneda,Ninety One Latam Equities (LX) Ninety One 23.0,41.2 3.5%,18.1% 71.4%,13.5% 7.8%,9.1% 7.9% 6.22%,0.7%,21.4% 0.47,-5.7%,0.98,1.00%,,,,,,,
4,28/Feb/2026,USD,Moneda,"Credicorp Latam Equities Credicorp 1,673.1",34.0 3.6%,19.9% 67.9%,17.4% 9.2%,,,20.9% 0.64,-3.0%,1.01,,,,,,,,
4,28/Feb/2026,USD,Peer Group (Latam Specific Country),iShares MSCI Brazil ETF BlackRock 38.7,"9,705.0 4.6%",21.9% 64.2%,18.5% 10.0%,10.2% 8.2% 4.9%,-2.6%,24.4% 0.62,-3.8%,1.13,0.59%,,,,,,,
4,28/Feb/2026,USD,Peer Group (Latam Specific Country),iShares MSCI Mexico ETF BlackRock 80.9,"2,653.5 7.7%",16.7% 63.1%,15.0% 17.1%,6.6% 4.9% 4.2%,2.3%,20.0% 0.56,-0.3%,0.77,0.47%,,,,,,,
4,28/Feb/2026,USD,Peer Group (Latam Specific Country),iShares MSCI Chile ETF BlackRock 43.5,"1,227.1 -3.8%",7.7% 55.6%,19.5% 11.3%,5.9% 5.1% 3.8%,-0.9%,19.9% 0.76,4.0%,0.75,0.59%,,,,,,,
4,28/Feb/2026,USD,Peer Group (Latam Specific Country),iShares MSCI Peru ETF BlackRock 93.8,606.7 8.4%,29.7% 133.5%,53.8% 24.6%,18.0% 16.5% 13.6%,6.8%,21.9% 1.88,35.6%,0.72,0.59%,,,,,,,
4,28/Feb/2026,USD,Indices,"MSCI Latam 10/40 Net 1,198.1",3.8%,19.7% 72.8%,20.9% 15.2%,11.2% 9.4% 7.3%,1.7%,20.6% 0.79,,,,,,,,,,
4,28/Feb/2026,USD,Indices,"MSCI Latam ESG Leaders Net 1,665.0",3.0%,18.2% 72.5%,17.9% 9.8%,7.9% 6.5% 4.3%,1.1%,21.1% 0.66,,,,,,,,,,
4,28/Feb/2026,USD,Indices,MSCI Latam TR Net 872.3,3.8%,19.7% 72.4%,20.7% 14.9%,11.0% 9.3% 7.1%,1.5%,20.5% 0.79,,,,,,,,,,
4,28/Feb/2026,USD,Other Moneda Funds Returns,Mercer Moneda 244.7,298.4 2.7%,17.7% 70.8%,16.2% 12.6%,8.3% 12.8%,,22.0% 0.58,-3.1%,1.01,,,,,,,,
4,28/Feb/2026,USD,Other Moneda Funds Returns,Moneda All Caps A Moneda 91.0,38.4 0.9%,14.8% 61.3%,,,,,,,0.10%,,,,,,,
