page_num,report_date,currency,group,FUND,Date,Manager,Incep,NAV,AUM_USD_mm,MTD,YTD,1_year,3_years,5_years,10_years,CUMULATIVE S. INCEP. PIONERO,ANNUALIZED S. INCEP. PIONERO,sigma,Sharpe,Alpha,Beta,Mgmt_Fee,ANNUALIZED S. INCEP. ORANGE,CUMULATIVE S. INCEP. MRV A,ANNUALIZED S. INCEP. MRV A,CUMULATIVE S. INCEP. MSC,ANNUALIZED S. INCEP. MSC,ANNUALIZED S. INCEP. MLE LX,ANNUALIZED S. INCEP. MDELA,ANNUALIZED S. INCEP. GLORY
1,20/Mar/2026,CLP,Moneda,Pionero A,,Moneda,,"15,638.5",551.3,−1.5%,7.2%,67.7%,32.4%,21.3%,14.4%,"8,574.6%",15.0%,14.3%,1.54,16.2%,0.64,0.85%,,,,,,,,
1,20/Mar/2026,CLP,Moneda,Pionero AE,,Moneda,,"15,808.3",1.6,−1.5%,7.3%,68.0%,32.6%,21.5%,,,,14.3%,1.56,16.4%,0.64,0.85%,,,,,,,,
1,20/Mar/2026,CLP,Moneda,Pionero I,,Moneda,,"15,652.0",173.1,−1.5%,7.3%,,,,,,,,,,,0.75%,,,,,,,,
1,20/Mar/2026,CLP,Moneda,Pionero R,,Moneda,,"14,948.9",51.9,−1.6%,6.2%,62.1%,,,,,,,,,,1.80%,,,,,,,,
1,20/Mar/2026,CLP,Peer Group,Compass SC Chile - I,,Compass,,"144,119.8",354.4,−2.8%,1.6%,43.6%,25.7%,14.3%,10.7%,,,14.7%,1.18,9.8%,0.68,0.50%,,,,,,,,
1,20/Mar/2026,CLP,Peer Group,LarrainVial SC Chile,,LarrainVial,,"16,257.7",156.8,−1.4%,4.0%,65.8%,32.5%,16.8%,,,,15.8%,1.44,15.2%,0.71,0.50%,,,,,,,,
1,20/Mar/2026,CLP,Peer Group,Toesca SC Chile,,Toesca,,"16,700.7",83.7,−3.3%,2.6%,47.3%,25.9%,12.1%,,,,14.6%,1.21,11.7%,0.61,0.50%,,,,,,,,
1,20/Mar/2026,CLP,Peer Group,Siglo XXI,BICE,,,"66,962.8",63.9,−2.3%,4.2%,44.6%,25.7%,13.2%,9.9%,,,14.9%,1.16,10.0%,0.67,0.50%,,,,,,,,
1,20/Mar/2026,CLP,Indices,MSCI Chile SC Net,,,,1.1,,−6.0%,−0.8%,25.5%,24.1%,15.4%,8.7%,"1,330.8%",8.7%,,,,,,,,,,,,,
1,20/Mar/2026,CLP,Indices,IGPA Small Cap,,,,"95,856.8",,−1.9%,0.3%,31.9%,26.3%,19.7%,13.9%,,,13.6%,1.27,,,,,,,,,,,
1,20/Mar/2026,CLP,Indices,IGPA Mid Cap,,,,"53,276.7",,−5.8%,2.2%,38.5%,29.5%,21.4%,10.6%,,,15.4%,1.22,,,,,,,,,,,
1,20/Mar/2026,CLP,Indices,IGPA SC & MC,,,,"2,172.9",,−4.5%,1.5%,36.1%,28.4%,21.0%,12.1%,,,14.2%,1.27,,,,,,,,,,,
1,20/Mar/2026,CLP,Indices,Moneda 500,,,,"6,364.1",,−3.7%,3.4%,41.9%,29.3%,18.5%,10.5%,"2,026.3%",10.0%,13.1%,1.48,,,,,,,,,,,
1,20/Mar/2026,CLP,Indices,IPSA,,,,"10,277.5",,−5.5%,−1.9%,35.7%,25.7%,16.2%,10.0%,"1,221.8%",8.4%,15.9%,1.03,,,,,,,,,,,
1,20/Mar/2026,CLP,Indices,MSCI EM Latam SC Net,,,,1.2,,−7.8%,3.0%,27.4%,16.3%,10.2%,9.7%,,,,,,,,,,,,,,,
