Fondo,Clase,Fecha_Reporte,Fecha_Inception,YTD_Desde,YTD_Hasta,1Y_Desde,1Y_Hasta,3Y_Desde,3Y_Hasta,5Y_Desde,5Y_Hasta,10Y_Desde,10Y_Hasta,SI_Desde,SI_Hasta,YTD,1_Year,3_Years,5_Years,10_Years,Since_Inception,MOIC_x,Alpha,DesvEstandar_3Y
Pionero (CLP),Fund Net,2025-10-22,1994-03-18,2024-12-31,2025-10-22,2024-10-22,2025-10-22,2022-10-22,2025-10-22,2020-10-22,2025-10-22,2015-10-22,2025-10-22,1994-03-18,2025-10-22,0.35423089667704044,0.42051959373240666,0.24616354345835467,0.1999466053223664,0.11584627630684219,0.1412159635027601,64.9654308203,0.12689791719341592,0.09614617068631641
Pionero (CLP),Fund Gross,2025-10-22,1994-03-18,2024-12-31,2025-10-22,2024-10-22,2025-10-22,2022-10-22,2025-10-22,2020-10-22,2025-10-22,2015-10-22,2025-10-22,1994-03-18,2025-10-22,0.3650574319293185,0.4344926582760382,0.2585810115068268,0.2120058160290108,0.1270959771495661,0.1542818982798808,93.08978463308533,0.13812826146186263,0.09617248851004967
Pionero (CLP),MSCI Small Cap Chile Net,2025-10-22,1994-03-18,2024-12-31,2025-10-22,2024-10-22,2025-10-22,2022-10-22,2025-10-22,2020-10-22,2025-10-22,2015-10-22,2025-10-22,1994-03-18,2025-10-22,0.31326001044249585,0.3323811036042732,0.2788595092536743,0.17905263530584858,0.08470712350070397,0.08511933818056616,13.213007540822941,,0.13864573737108757
Pionero (CLP),OP/UP Gross vs Benchmark,,,2024-12-31,2025-10-22,2024-10-22,2025-10-22,2022-10-22,2025-10-22,2020-10-22,2025-10-22,2015-10-22,2025-10-22,,,0.05179742148682265,0.10211155467176503,-0.020278497746847535,0.03295318072316222,0.042388853648862135,0.06916256009931465,,,
MRV (CLP),Fund Net Class I,2025-10-22,2016-10-20,2024-12-31,2025-10-22,2024-10-22,2025-10-22,2022-10-22,2025-10-22,2020-10-22,2025-10-22,2015-10-22,2025-10-22,2016-10-20,2025-10-22,0.3528586896525858,0.3461364755890808,0.17854312924464621,0.18479678724359716,,0.08591491380382954,2.1005532017,-0.00906524631257688,0.13276206776952534
MRV (CLP),Fund Gross Class I,2025-10-22,2016-10-20,2024-12-31,2025-10-22,2024-10-22,2025-10-22,2022-10-22,2025-10-22,2020-10-22,2025-10-22,2015-10-22,2025-10-22,2016-10-20,2025-10-22,0.3612874597517213,0.35654021266631575,0.18623991994748268,0.19281483898330154,,0.09374311647074052,2.240910170649307,-0.002543185072844567,0.13264795484529363
MRV (CLP),S&P/CLX IPSA vs Class I,2025-10-22,2016-10-20,2024-12-31,2025-10-22,2024-10-22,2025-10-22,2022-10-22,2025-10-22,2020-10-22,2025-10-22,2015-10-22,2025-10-22,2016-10-20,2025-10-22,0.3486472469550035,0.35579190550347883,0.20692124638923004,0.18880339830153825,,0.08797343176010908,2.136682816726329,,0.13710088581612107
MRV (CLP),OP/UP Gross Class I vs Benchmark,,,2024-12-31,2025-10-22,2024-10-22,2025-10-22,2022-10-22,2025-10-22,2020-10-22,2025-10-22,2015-10-22,2025-10-22,,,0.012640212796717787,0.0007483071628369142,-0.02068132644174736,0.00401144068176329,,0.00576968471063144,,,
MRV (CLP),Fund Net Class A,2025-10-22,2011-05-19,2024-12-31,2025-10-22,2024-10-22,2025-10-22,2022-10-22,2025-10-22,2020-10-22,2025-10-22,2015-10-22,2025-10-22,2011-05-19,2025-10-22,0.3499958741393512,0.3428302841823645,0.1786392065941269,0.18005198344354167,0.08843601503016307,0.04688828368872344,1.9370084827,,0.1321453205240791
MRV (CLP),Fund Gross Class A,2025-10-22,2011-05-19,2024-12-31,2025-10-22,2024-10-22,2025-10-22,2022-10-22,2025-10-22,2020-10-22,2025-10-22,2015-10-22,2025-10-22,2011-05-19,2025-10-22,0.361207576876734,0.3564627734880248,0.1859457894816865,0.19164453780802648,0.09956506552722488,0.05736220988063678,2.23620821555938,,0.13249600144743048
MRV (CLP),S&P/CLX IPSA vs Class A,2025-10-22,2011-05-19,2024-12-31,2025-10-22,2024-10-22,2025-10-22,2022-10-22,2025-10-22,2020-10-22,2025-10-22,2015-10-22,2025-10-22,2011-05-19,2025-10-22,0.3486472469550035,0.35579190550347883,0.20692124638923004,0.18880339830153825,0.08856153368054143,0.044678626442848035,1.8788474594685667,,0.13710088581612107
MRV (CLP),OP/UP Gross Class A vs Benchmark,,,2024-12-31,2025-10-22,2024-10-22,2025-10-22,2022-10-22,2025-10-22,2020-10-22,2025-10-22,2015-10-22,2025-10-22,,,0.012560329921730506,0.0006708679845459642,-0.020975456907543544,0.0028411395064882328,0.011003531846683456,0.012683583437788748,0.3573607560908134,,
ORANGE,ORANGE (CLP),2025-10-22,2013-01-15,2024-12-31,2025-10-22,2024-10-22,2025-10-22,2022-10-22,2025-10-22,2020-10-22,2025-10-22,2015-10-22,2025-10-22,2013-01-15,2025-10-22,0.34752971902553553,0.3438642699850998,0.17105528480099785,0.18857970901596421,0.09922644370284361,0.06466567941700818,2.225464571,0.023734663018603275,0.13081011034072937
ORANGE,FTSE Chile All Cap TR Gross Orange (CLP),2025-10-22,2013-01-15,2024-12-31,2025-10-22,2024-10-22,2025-10-22,2022-10-22,2025-10-22,2020-10-22,2025-10-22,2015-10-22,2025-10-22,2013-01-15,2025-10-22,0.34796244537397314,0.39415715108068117,0.1754538116873845,0.18872694540955504,0.08673917957755495,0.052177716790264395,1.9142676700999999,,0.14673012345067954
