# Generado: 2026-03-23 15:58:03
Empresa,Moneda,Ingresos_2025,Ingresos_2026,Ingresos_2027,EBITDA_2025,EBITDA_2026,EBITDA_2027,Utilidad_2025,Utilidad_2026,Utilidad_2027,EBIT_2025,EBIT_2026,EBIT_2027,Analyst,Div
CAP,USD,1979.6544427210079,2016.647987442193,2002.6975696402324,275.0269092263601,575.698605177115,525.4791187497366,-143.6700354648967,123.15060701533147,102.01220146428986,-38.951873698981615,375.3104261448878,326.81250160293473,1,Commodities
Cintac,USD,529.7304468770491,570.0377667858605,570.0377667858605,47.65647834393433,59.13099841675707,59.13099841675707,-7.622017335027419,-0.02682487910171938,-0.02682487910171938,27.43832709393433,38.029208510507075,38.029208510507075,1,Commodities
Cuprum,CLP,,,,115153.8815672291,110693.7076529372,112785.38061286691,79356.79452800003,69980.90681190636,69819.18337621953,,,,,Financials
Habitat,CLP,,,,199519.57632152832,191791.72557443636,195415.83009517478,180872.01141351231,159502.2512047787,159133.64706345266,,,,,Financials
Provida,CLP,,,,168723.61431410143,162188.56179961495,165253.28369139397,95981.84679600001,84641.73378242462,84446.12968677357,,,,,Financials
Afpcapital,CLP,,,,157240.59097457395,151150.30228792477,154006.44476326866,103124.01264,90940.06331220156,90729.90399660486,,,,,Financials
Iansa,USD,0,0,0,0,0,0,0,0,0,,,,,F&B
HF,USD,0,0,0,0,0,0,0,0,0,0,0,0,-1,F&B
Carozzi,CLP,1394646.292994053,1394646.292994053,1394646.292994053,254461.68849,262095.53914470001,269958.40531904105,105148.22568,108302.6724504,111551.752623912,149065.075549176,149065.075549176,149065.075549176,,F&B
Watts,CLP,626578.047195,651603.724849891,672290.2464551182,50538.308984702526,58737.76172775871,60601.12088257364,22638.616242220385,25671.24509324382,25901.005793423385,34327.964031499956,42050.29960851786,43401.318711724525,1,F&B
BBVAcl,CLP,,,,,,,,,,,,,-1,Financials
Chile,CLP,,,,,,,1211704.5037466951,1305100.070195089,1385740.596913312,,,,1,Financials
Itaucl,CLP,,,,,,,426785.47762678645,401578.8866118628,486594.03031365765,,,,1,Financials
BCI,CLP,,,,,,,993369.5491212548,1079782.1538743938,1203002.561457034,,,,1,Financials
Bsantander,CLP,,,,,,,1053212.4993834724,1111434.947543468,1191877.1787573542,,,,1,Financials
Bicecorp,CLP,,,,,,,196323.98078547377,380000,450000,,,,,Financials
Security,CLP,,,,,,,,,,,,,1,Financials
Banvida,CLP,,,,,,,126076.59225000002,132380.42186250002,138999.44295562504,,,,,Financials
ILC,CLP,,,,,,,247045.70124091246,241844.76535715765,243125.59364236786,,,,1,Financials
Nubank,USD,,,,,,,2978.754010065654,4178.322977557114,5549.409063982384,,,,,Financials
Andina,CLP,3344835.851,3541543.595015608,3822794.271451627,614608.0059999998,675287.7110057432,738835.1089081275,268696.9359999998,300901.66507740266,332455.5586253609,455366.5129999998,507129.2402508,557816.3860932968,1,F&B
CCU,CLP,2909625.448,2929373.0680900407,3041540.860265975,376207.958,425548.7020006527,460289.7896395447,117152.207,158992.39567445885,190447.9937544712,220849.26499999998,276487.93244086084,305749.4817316913,1,F&B
Embonor,CLP,1305184.277040108,1240433.0605133397,1328037.3710634804,167138.81692704704,147719.3116554117,165280.22444737836,56857.757126890494,54321.579720214955,64680.40716627641,101888.77554368583,90029.61779524031,102923.52141790884,1,F&B
Falabella,CLP,13286000,14234000,15409000,1972000,2109000,2324000,822000,862000,997000,1513000,1647000,1857000,1,"Retail, Real Estate"
Mercado Libre,USD,28706.773732458754,36420.107950878795,44836.42216535347,4016.2712295814968,5121.0240302950115,6921.548166315111,2082.2395002936855,2859.080903226093,4055.5300944855658,3221.951886270028,4028.420791768647,5576.455501354507,,"Retail, Real Estate"
Ripley,CLP,2211401,2339106,2392200,203900,217600,232700,64300,86000,102000,120000,136600,153600,1,"Retail, Real Estate"
Cencosud,CLP,17037000,17260000,18486000,1457573.6613143273,1599000,1780000,452000,471000,593000,968687.341356732,1115249.78511247,1301128.28688671,1,"Retail, Real Estate"
Nuevapolar,CLP,513000,528390,544241.7000000001,37000,38110,39253.3,-3000,-1700,-1785,9000,9270,9548.1,,"Retail, Real Estate"
Hites,CLP,333000,346320,360172.8,24000,25200,26460,-19000,-12810.606616725749,-9000,-2000,-800,460,,"Retail, Real Estate"
Forus,CLP,400641.52934265084,436653.1809252482,468724.554250207,67946.8764025776,78031.95539598835,88269.42050483356,26827.292090182564,31772.917872837155,37488.03768679913,37951.315905036485,45154.75981187271,52867.562084579324,1,"Retail, Real Estate"
SMU,CLP,2801811.672197479,2953674.9080784223,3139614.9607740156,212460.13590802808,227328.53732083342,259548.67613359352,8752.509472735852,20650.981724093723,52706.25274879989,92353.15275502809,105105.66121248875,136301.49562548855,1,"Retail, Real Estate"
Soquicom,USD,0,0,0,15,15,15,8,8,8,,,,,"Retail, Real Estate"
Tricot,CLP,266680,285347.60000000003,305321.93200000003,54239.99999999999,57494.399999999994,60944.064,20177.199999999993,21980.591999999997,23903.63392,34639.99999999999,37110.399999999994,39744.704,1,"Retail, Real Estate"
Zofri,CLP,58540.05771999999,62052.461183199994,65775.608854192,19903.619624799998,21097.836802288,22363.70701042528,14164.642326103998,14959.770865670238,15804.906617610453,16403.619624799998,17492.836802288,18650.55701042528,,"Retail, Real Estate"
Parauco,CLP,383792.58200000005,430690.6098744215,480655.94350471353,272233.329374,313378.4190862644,350289.323903952,118810.59424785383,153620.140469416,199179.45430966374,267493.73937400006,308210.1317677713,344521.45258189546,1,"Retail, Real Estate"
Cencoshopp,CLP,377940.605,416268.9727913593,448943.0018121246,340556.33600000007,374878.78018553305,405450.265334318,234831.784344887,268635.95660076366,324692.28345328773,341171.60800000007,375711.3181311157,406348.1513379422,1,"Retail, Real Estate"
Mallplaza,CLP,651953.3212564783,703597.6185923246,765493.3412139602,524195.0602261594,569220.0103109648,619241.0530785883,314510.9646773438,378950.23029128567,416304.6341856086,518866.87121042906,562601.3818654548,616915.3574848161,1,"Retail, Real Estate"
Cristales,CLP,389499.0583431355,405890.74468968716,430012.40135605726,33923.896853483726,42005.66674806211,56432.33136620042,-4251.863718026243,-1656.4779931531903,9002.18742861933,772.1877327944967,8692.628660980568,24395.628133215563,1,F&B
Elecmetal,CLP,1079298.6526506196,1079298.6526506196,1079298.6526506196,118603.67994987876,118603.67994987876,118603.67994987876,87838.69859542181,87838.69859542181,87838.69859542181,83845.80133721705,83845.80133721705,83845.80133721705,,F&B
SK,USD,3970.6705716808087,4108.7624382960685,4512.657496600101,400.83263636609735,446.97715791428027,481.2161964546063,103.4180706472836,140.7175516455199,165.97266819195968,301.33299602773286,336.6414190614395,379.2006676057165,1,"Construcción, Healthcare, O&G"
