cierre_cartera,2025-12-31
precios,2026-01-13
resultados,3Q 2025

company,pio_vs_igpa_mc_sc,mrv_vs_ipsa,price,ret_1m,ret_ytd,ret_1y,ret_5y,mkt_cap_bn,net_debt,FV,ebitda_prev,ebitda_ltm,ebitda_chg,net_income_prev,net_income_ltm,net_income_chg,ebitda_ltm,ebitda_ltm2,ebitda_2025e,ebitda_2026e,ebitda_2027e,Fv_ebitda_2024,Fv_ebitda_ltm,Fv_ebitda_2025e,Fv_ebitda_2026e,Fv_ebitda_2027e,ni_2024,ni_ltm,ni_2025e,ni_2026e,ni_2027e,pe_2024,pe_ltm,pe_2025e,pe_2026e,pe_2027e,peg_2026e,p_ce_ltm,p_bv_ltm,roe_ltm,roe_2025e,fv_s_ltm,leverage_ltm,div_policy,div_yield_2026e,roic_ltm,fv_ic_ltm,recommendation,rec_date,roe_2026e,div_yield_2026e_b,div_yield_ltm,div_yield_lagged,div_yield_2022,sector,target_price
IPSA,,,9998.94,0.064053,0.061133,0.637854,0.188903,188457.098881,61706.80304,250163.901921,17576.912758,0.090655,0.032668,10695.186231,10030.021886,-0.062193,0.090655,0.042994,-0.005155,0.157647,0.066666,,7.657828,7.883854,6.810243,6.384605,0.193587,0.086737,0.015256,0.141868,0.091543,,14.079127,14.061741,12.31468,11.281904,0.868037,6.788663,1.340361,0.101678,0.101696,1.364545,,,0.034944,0.071208,1.106745,,,0.108843,0.034944,0.034368,0.049934,,,
MRV,,,32544.0597,0.05905,0.045749,0.634494,0.189397,91.941392,6.857982,98.799374,10.652813,0.042079,-0.014936,4.433343,4.741712,0.069557,0.042079,-0.003377,-0.059273,0.155219,0.0727,,6.655245,6.996526,6.056452,5.645989,-0.241598,0.110294,0.158128,0.244484,0.101122,,14.625652,14.675884,11.792748,10.709755,0.482353,5.758428,1.229523,0.091111,0.088601,1.255777,,,0.036439,0.063528,1.003204,,,0.104261,0.036439,0.037967,0.057792,,,
Orange,,,,,,,,543.419298,213.684638,757.103936,64.450269,0.049415,0.011533,26.169876,28.122404,0.07461,0.049415,0.024109,-0.054109,0.153714,0.071697,,6.466235,6.894327,5.975766,5.575986,-0.253649,0.109251,0.167511,0.245933,0.10011,,14.584174,14.61172,11.727532,10.660324,0.476859,5.124133,1.220729,0.090791,0.088361,1.230244,,,0.036294,0.066734,1.001221,,,0.104091,0.036294,0.037818,0.057696,,,
FTSE,,,1114.27,0.058385,0.060766,0.569274,0.096529,165705.533134,54682.103227,220387.636361,15019.355337,0.057121,-0.021151,9335.255875,8161.369778,-0.125748,0.057121,-0.004274,-0.03328,0.174649,0.06675,,8.216865,8.366612,7.122646,6.676957,0.117804,-0.034065,-0.003918,0.170641,0.093135,,15.149308,14.771499,12.618304,11.543227,0.739467,7.260034,1.289751,0.090605,0.093487,1.339004,,,0.032641,0.062686,1.033072,,,0.102213,0.032641,0.030767,0.043986,,,
Moneda Gral,,,,,,,,178240.281271,64553.768753,242794.050024,18345.614579,0.08804,0.027777,10213.530367,9424.15664,-0.077287,0.08804,0.042181,-0.009058,0.156286,0.068267,,7.337709,7.557264,6.535809,6.118142,0.169853,0.070586,0.015291,0.176005,0.090152,,14.281415,14.066322,11.96111,10.971962,0.67959,6.367122,1.35317,0.100702,0.102963,1.22716,,,0.033134,0.070014,1.082991,,,0.113131,0.033134,0.031902,,,,
Moneda 501,,,,,,,,137346.536373,41620.345147,178966.881521,13335.119303,0.093826,0.021099,8693.783395,7212.205544,-0.170418,0.093826,0.036286,-0.034947,0.187068,0.065789,,7.175671,7.553478,6.363138,5.970357,0.232928,-0.036544,0.003757,0.191082,0.079579,,14.426859,14.372861,12.067066,11.17757,0.631514,6.719889,1.425201,0.104461,0.106661,1.175947,,,0.032029,0.072798,1.106173,,,0.118107,0.032029,0.030189,,,,
Moneda 500,,,,,,,,40893.744898,22933.423606,63827.168503,5010.495276,0.073675,0.045553,1519.746971,2211.951096,0.455473,0.073675,0.057149,0.056427,0.085159,0.074531,,7.74095,7.566011,6.972261,6.488653,-0.048105,0.666491,0.052385,0.12976,0.124345,,13.813687,13.126081,11.618472,10.333548,0.895383,5.604932,1.156804,0.090259,0.093064,1.364211,,,0.036843,0.064059,1.03305,,,0.099566,0.036843,0.037656,,,,
Pionero,,,15513.2482,0.138833,0.057871,0.774033,0.236665,751.853855,6.170914,758.024768,82.88325,0.141249,0.203986,19.085588,35.534383,0.861844,0.141249,0.257962,0.08165,0.094621,0.136819,,6.825688,7.228405,6.603567,5.808812,-0.439697,0.659945,0.422403,0.274411,0.169256,,15.024552,15.734884,12.346793,10.559526,0.449939,4.678971,1.39718,0.10134,0.094765,1.23754,,,0.029813,0.088051,1.230124,,,0.113161,0.029813,0.03134,0.052838,,,
FIMs,,,,,,,,1270.74567,,1270.74567,142.369945,0.154534,0.19879,31.03127,58.281726,0.878161,0.154534,0.293988,0.100422,0.104611,0.095857,,7.81552,8.073146,7.308584,6.669284,-0.213852,0.948265,0.473678,0.269143,0.130796,,15.544505,15.827818,12.471262,11.028743,0.463369,5.904735,1.261999,0.087122,0.084235,1.108599,,,0.028612,0.070392,1.128768,,,0.101193,0.028612,0.029976,0.048904,,,
IGPA,,,50190.35,0.064666,0.059272,0.638073,0.189751,212734.026619,74685.316545,287419.343164,20824.714374,0.123037,0.02678,12137.096201,11427.192856,-0.05849,0.123037,0.043942,-0.02425,0.149764,0.062972,,7.38379,7.717584,6.71232,6.314673,0.107472,0.069316,-0.004235,0.169734,0.081956,,13.879464,14.067076,12.025878,11.114943,0.708514,6.840412,1.277978,0.098787,0.097659,1.238855,,,0.035343,0.07278,1.048098,,,0.106269,0.035343,0.035678,0.052053,,,
IGPA LC,,,41166.83,0.063809,0.061313,0.650708,0.169967,154636.972224,49383.921623,204020.893846,15208.342203,0.117148,0.014872,9727.989249,8334.663489,-0.143229,0.117148,0.03015,-0.041031,0.178789,0.064206,,7.299454,7.697224,6.529773,6.135819,0.209624,-0.024048,-0.04019,0.178037,0.067759,,14.128401,14.023847,11.904425,11.148981,0.668651,7.26773,1.373389,0.103817,0.105416,1.149402,,,0.032791,0.070565,1.027052,,,0.115368,0.032791,0.033729,0.049147,,,
IGPA MCSC,,,2067.06,0.067047,0.053681,0.603397,0.236368,58097.054395,25301.394923,83398.449318,5616.37217,0.138275,0.059027,2409.106953,3092.529367,0.283683,0.138275,0.079572,0.018366,0.080354,0.059753,,7.59168,7.766273,7.188641,6.783319,-0.12266,0.405031,0.107444,0.147383,0.121195,,13.257702,14.183446,12.361565,11.025349,0.838739,5.983583,1.078542,0.088123,0.081514,1.51906,,,0.042138,0.078243,1.101604,,,0.08725,0.042138,0.040866,0.059824,,,
